,adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
10257,suma,Perseverancia,Puntiagudo,piezas,esfuerzo,en movimiento,valentia,Enfermedad,resiliencia ,diferentes,preparacion con un objetivo,moda,coraje,postura de perro,Ciencia,Pais,pelos,alcaldesa de maipu,estudia los animales,artístico,historia,variación de un pijama,jueves,Comunion,Autoridad,tiene caparazón,oscura,no muy agradable,blanca,hechizo,es actividad rural,reutilización,mar ,Borde,narnia,corrupcion,Sutil,agradable,Amígdala,sentimiento,Individuo,planicie ,miedo,Galaxia espiral,creacion,Estatus social ,responsabilidad,mentira,horrible,ataque,dinero,rabia,Agujero negro,conciencia,roca pequeña,Quema,cambio de estados de humor,de gran escala,sintomas,mantenerse,convencer,voluntario,difícil de resolver,perdón,aviso grande,empujar hacia arriba,sin cerro,propio del humano,ojo,Empatía,asiste,Cosecha,Pecado,debe cumplirse,flaco,Intervención divina,desarrollo cientifico,conducta,Emperador o emperatriz,Situación,Espiritual,temprano por la mañana,movimiento,Sacramento ,Castillo,eje,humedad,antiguo,trozo,destreza,peligroso,se encuentra en el universo,puede referirse a un pueblo o ciudad,Solución previa al análisis del caso ,colegio,objeto,falla de una promesa,Distorsión,Que vuelve,la gente reservada no cuenta nada ,tecnología ,gallinas,contestación,grande,Estado de salud de un ente,Tierra,algo no esta bien,concreto,comodo,exhalación,tranquilo,tonto,Se espera retorno,leyes,autentico,el sol lo mata,ostenta,no tiene un lugar fijo para vivir ,mal oliente,lazo
10258,mejora,Musculos,Abejas,tactica,construccion,recorrido,valor,Dependencia,inteligencia,son varias,pieza musical,esteriotipo,valentía,Lobos,Baño,Nacion,afeitadora,Comida,pueden ser profesores,trasnochado,enfermedad,polera larga,viernes,Rezo,Cabeza,tiene cachitos,húmeda,pollo,guaguas,magia,cosecha de trigo,moda,comida,Exterior,mujeres,copiar,Diferencia,dulce,Sistema límbico,brillo,Sujeto,atento,temor,Logaritmico,expresion,condición,evitar algo que no se debería,aspectos,forma extraña,nocturnos,suerte,aventura,es enorme,respeto,tipo de roca,Inquisición,biologia,tormenta,dislumbrar,fuerza,intervenir,entrada,dudoso,arrepentimiento,se hace en un material duro,accion,plano ,activo,decoración,Sufrimiento,acompaña,experiencia,Portarse mal,proclamado por alguien de rango alto,gordo,Expresión cotidiana,crisis,forma de ser,Dinastía,Falsedad,literatura,tenebroso,enfoque,Persona,Mansion,torque,verde,sepulbro,fracción,facilidad,produce daño,existen diferentes categorías,puede referirse a un pueblo o ciudad,Asumir,educacion basica y media,fisica,exigencia de derechos,Reflexión,Ir al pasado,guardar un puesto ,medios de transporte,mujeres,contradicción,adulto,Promover el estar saludable,Naturaleza,asistencia,edificio,pasarlo bien,estres,temor,tropezarse ,Favor,siempre hay fila,efectivo,eterna juventud,presumido,no puede tener un trabajo fijo ,natural,relación interpersonal
10259,actualización,Grande,Avispas ,enfrentamiento,casco,situacion,animo,Cuidado,liderazgo,linea,conjunto de flores,edades,valor,Camada,Kilogramos,es de tela ,espuma,Grande buena vida,estudia una ciencia básica,cultural,huesos,blanco,diversion,Oratorio,Oficial,baboso,refugio,arroz,pico,lo hacen los brujos,sembrar,estilo,paises,Protección ,sabroso,reglas,Preciso,sabroso,Estado,hechizo,empresa,fijarse en el entorno ,pavor,Vórtice espiral,refiere a algo o alguien ,prestigio,acto ilegal,apariencia,canones esteticos,carnívoros ,aleatorio,enagenado,contiene estrellas,consecuencias,grano pequeño,Humo,sangre,viento,entender,resistencia al cambio,ayudar,puerta,incertidumbre,Cementerio,hay muchos en la carretera,motivacion,Planicie,estado mental,agua,Tristeza,padrino,años,maldad,tener poder sobre gente,cachete,Ayuda,guerra,cultura,Cargo vitalicio,Castigo,falso,muy extenso,profesional,Cercano,Edificio,sirve para levantar cosas,piedras,tumba,Terreno ,desafio,causa seguridad a algunas personas,se mueve a través del universo,conjunto personas,Es un prejuicio pero no ofensivo,educacion,circunferencia,vtr,Fenómeno físico,Recordar algo,guerdar algo para alguien ,maquinaria pesada,comentario,Terremoto,minimo,lucides mental ,Florecer,remedio,perfeccionismo,autentico,presión,nervios,sujeto calvo,homenaje,viajes,real,leyenda,Exterior,Alguien que está en camino a un destino,gourmet,tiempo
10260,matemática,Entrenamiento,Insectos,duelo,obrero,problema,exhalar,Fragilidad,perseverancia ,figura geometrica,creacion de un conjunto,colores,arrojo,Grito,Newton,representa algo,hisopo,Grasa,inteligente,fiesta,estructura ocea,con botones,relajo,Ermita,alguien que esta a cargo,comestible,hogar primitivo,frio,alas,Harry Potter sabe muchos,agricultura,confección,tripulantes,Escudo,que me agrada,egocentricos,Corto,comida,Variedad,magia,persona juridica ,es un lugar fisico ,terror,circular,simbolo,mantener,se hace con los impuestos,fisico,oculto,gato,dinero,velocidad,contiene planetas,arma,duro,fuego,circular,destruccion,investigar,peso,presionar,tambien puede ser la salida,misterio,Muro ,informa acerca de la ubicación,imperativo,Llano,rapidez,gota,Compasión,segunda madre,tiempo,lo peor del se humano ,ser jefe,moflete,Duda,usa,manera de comportarse,Populares en Edad Media,Elaboración ,creencia,silent hill ,admiracion,Amigo del padre ,Casa Real,para mover cosas,rios,monumento,Tierra,loro,utilizan para crimenes,puede girar alrededor de un sol o no,concentración gente,Supuestos,carpetas,energia,productos por intenet,sombra,Volver a hacer algo,uno puede reservar su derecho a hablar ,fuerza,mezclar,Respuesta ,trabajo,un lugar muy limpio ,Comienzo,ayuda,poca flexibilidad ante las dificultades,cerrar los ojos,desagrado,falta de confianza,homero simpson,respeto,pasaporte,cualidad,"películas, libros, videjuegos",Malo,Se transporta,vino descompuesto,confianza
10261,agragar,Energia,Venenosos,mucho tiempo,edificio,peligro,olor,Conocimiento ,testarudo,borde,cosas similiares reunidas,diseños,osadía,Noche,Física,pais ,delantal,Pipa,investigador,excentricidad,puede ser de cualquier ser vivo,se plancha,comida,religión ,poder ,pequeño tamaño,peligrosas,caliente,patas largas,se hace para conseguir amor,campo,unir cosas,titanic,Plátano,sopa,mentira,Ampliar la imagen,ternura,Constante,barita,entidad juridica,Paisaje,horror,giratorio,recuerdo,mejorar,evitar pagar algo,mentalidad,asimetrico,tigre,suerte,sexo,esta en el espacio ,balas,se puede clasificar según tamaño,donde quemaban personas,muy pequeñas,desastre,aclarar,dificultad,persuadir,acceso,secreto,Termino de relacion,se usa para publicidad,punto cardinal,zanja ,astuto,pena,Moral religiosa cristiana,seguridad,conocimiento,muerte ,tener un grupo a cargo,ternura,Gratificación,rusia,pueden ser buenos o malos,Rey,Preparación,alma,película de terror,sensacion agradable,Pariente,Muestra de poder,corte de carne,verde,cripta,Campo,perico,utilizan para proteger,hogar,lugar para vivir,Hipotesis,tareas,reloj,mal servicio ,Espejo,Ir y volver,uno puede no decir informacion ,física ,batir,Reacción,dinero,bienestar mental ,Fruto,auxilio,irrefutable ,levantar los brazos,conformidad,falta de seguridad,despistado,admiracion,firma,valor,"películas, libros, videjuegos",Exceso ,Viaje,antiguo,natural
10399,computación,Tolerancia,Peligroso,Tablero,cemento,problematica,comida,Soledad,Fuerte,filo,Secuencia,tallas,decisión,Terror,Comercio,patría ,clasico,Buena alimentacion,bata de laboratorio,vanguardismo,muerte,para un atuendo estiloso ,cerveza,culto ,responsabilidad,silencioso,profundas,dia lluvioso,nacimientos,es parte de la fantasía,nutrición ,arreglar ropa,capitan,Naranja,rico,color rojo negro,Pequeño,bebes,Está en todos,harry potter,responsabilidad ,Ambiente,amenaza,resorte,representación,conseguir estatus,zafarse de un cobro legítimo,material,persona,puma,regalo,pasion,vía lactea,jalar,sirve para construcción,tortura,parte de la pubertad,estados unidos,pista,resistencia al movimiento,tipo de manipulacion,disponibilidad,crimen,Fallar,es grande,este,animales ,inteligente,sufrimiento,Pena,desconocimiento,vivir,avaricia ,ejercer de líder,carrillo,Situación,nuclear,actuar de una persona,Soberano,peliculas,verdadero,calle desierta,ojo,Película ,Hogar del Monarca,concepto de la física,vegetacion,sepulcro,Campestre,ave,matar,tierra,lugar rústico,Ideas,companeros,sonido,alegar,Percepción,Volver a las raices,Guardar algo,newton ,agitar,Copia,jefe,hay gente que no tiene sanidad metal,Nacimiento,favor,duro,cintura,postre peruano,falta de dominio,accidente,memoria,documentos,algo aceptado,"películas, libros, videjuegos",Estético ,Movimiento,condimento,se debe tratar con cuidado
10400,sumar,Sufrimiento,Espina,Reglas,trabajador,viaje,identidad,es vieja,capacidad,planos,acuerdo,vestido,firmeza,Horror,Equilibrar,nación ,barba,Cuerpo humano,fauna marina,despreocupación,cirugias,laboratorio,alcohol,fe,instruciones ,Baba,espeleología,choclo,largos vuelos,en libros de fantasía,alimentos frescos ,usa hilo,barco,Coco,calorias,descarado,Puede pasar desapercibido,perros,Humano,atractivo,responsable ,Lo que nos rodea,Desagradable,fuerza,historia,nivel,delincuencia,exterior,encorbado,rapidez,tener cosas,fiesta,andrómeda ,pelea,se puede grabar o tallar,malo,regulador de emociones,caribe,camino correcto,fisica,es un tipo de influencia,comienzo,curiosidad,Apoyo emocional,cartel,arriba,africa ,sutil,dolor,Incomodidad,bautizo,crecer,es una enfermedad ,gobierno,perfil,Fe,destruccion,escalas musicales fundamentales,Tiene poder sobre otros,videos,fisico,cancha de futbol oculta,claridad,Mafia,Hogar del Soberano,brazo mecánico para producir el efecto físico,agua,templo antiguo,Fuera de la ciudad,habilidad,metal,agua,poca tecnología,Proponer,profesor,distraccion,exigir soluciones,Vision,Retroceder,Proviciones,genera saltos,remover,Temblor,oficina,la sanidad es muy importante en especial en tiempos de pandemia ,Vida,refugio,estado de la matería,suelto,sonido que se hace con el aire que sale de la nariz,sentimiento,poco precavido,nostalgia,proceso,correcto,misterio,Redes sociales,Transporte,de frutas,riesgo
10401,más,dar lo mas de uno,Pincho,Guerra,pala,distancia,inseguridad,es arrugada,beneficio,otro lado,Flores,status,atrevimiento,Chillido,Regular,colores,barrer los pelos,Sistema gastrico,alto,intelectual,morgue,manga larga,suciedad,esperanza ,conocimiento ,espiral,estalactitas,sopa,estilizada,en juegos de cartas,se puede relacionar con sentimientos ,usa aguja,para ir de vacaciones,Nuez,caro,cara de raja,No general,nectar,Animal,una buena cualidad de una persona,Ser,Génetica,Susto,infinito,admiracion,social,transantiago,comportamiento distinto,juzgar,velocidad,ganar cosas,musica,astronomia ,odio,hay diferentes tipos,fuego,químicos,calor,suspicacia,movimiento,determina como se comportara algo,paso ,inteligente,Frustracion,papel con letras,pararse,es una ambiente de fauna diversa ,claridad mental,vidrio,Sentimiento,religion,frutas,Maldad,cargo ,cachete,Inesperado,conflicto,comportamiento social de una persona,Esta encima de los demás,fotos,espiritu,dificulta la visibilidad,definición,familia,donde viven los reyes y reinas ,su largo y su punto de apoyo producen la relación,agua sin movimiento,cerro de valparaíso,Lote,destreza,fuego,vida,vivienda,Sospechar ,aula,formulas matematicas,propio de los problemas,Agua,Hacia atras,Resguardo,perfectamente alineado,amalgamar,Desempate,camisa y corbata,pulcro,Esperanza,asistencia,firmeza,habilidad,alivio,miedo,descuidado con las cosas,importante,algo que se debe cumplir,tiene valor,libros,Belleza ,En movimiento,descompuesto,felicidad
10402,abundancia,resistencia,puas,Estrategia,trabajador,personas,arengar,es fragil,inteligencia,rectangulo,idea,disfraz,determinación,Rugido,Emparejar ,himno,masculino,Ejercicios fisicos,persona preocupada del medio ambiente,relajado,cementerio,ancho,borrachos,creencias ,mandamas ,Caparazon,estlagmitas,familia,vuela,pelicula de miedo,plantar algo ,actividad manual,visita distintos países,Fruta,unico,sin filtro,lo importante,azucar,proceso psicofisiológico a partir de un estímulo,"encantador, personaje de shrek",Omnipresente,Donde nos desarrollamos,Expresion facial,rulos,adulación,socio-económico,metro,caras,apuntar,parientes de los gatos,ganar dinero,no pensar,astrologia,rabia,se puede pulir,condena,inestabilidad,frio,huella,seguir el vuelo,altera el actuar de algo,principio,oculto,Resignación ,indicaciones,levar anclas,pasto muy verde,despejado,cristal,Pensar en el projimo,iglesia,sabiduria,Egoísmo,puesto importante,carrillo,Bendición,odio,buenos o malos según la aceptación social,Posee poder,encubrimiento,teologia,propia de la naturaleza,limpieza,figura paterna,realeza,permite transformar fuerzas,hay en algunas peliculas de terror,monumento funerario,Plantación ,cualidad,daño,parte del universo,ciudad pequeña,Probabilidades ,escuela,oscilacion,última instancia,Reacción,devuelta,Por si acaso,impulsor,alboroto,Replicación del ADN,sentado frente a un computador,desinfectado ,Poroto,Auxilio,resistente,desenvoltura ,cansancio,se da mas en los niños,estupidez,reconocimiento,lento,sentido,historias antiguas por todo el mundo,orgullo,No ha llegado a su destino,pasado de moda,tristeza
10403,agregar,apoyo,abejas,Deporte,obrero,proyectiles,desde dentro,es debil,cualidad,figura en tres dimensiones,complot,aparentar,empuje,Susto,Comparar,tiene significado ,antiguo,Abdominales,limpio,anticonvencional,cremación,fresco,cigarro,idiosincracia,sabe lo mejor para el equipo ,Huella,Cueva,casero,ave,fictisio,algo que se espero hace tiempo,un trabajo,el Titanic era uno,Verdura,poco,falta de respeto,una cualidad,dulces,expresión de un estado mental,atrayente ,Maligna,Seguro,Miedo,tobogan,heroismo,se puede jerarquizar según esto,fraude fiscal,diversos aspectos,ignorar,parientes de los leones,cosas buenas,no verguenza,universo,enfrentamiento,sirve como decoración,llama,relativo al ser vivo,velocidad,sintoma ,reposo,Autoridad,entrar,astuto,sentimiento negativo,grande,marcharse,seco,cordura,ojos,Situación externa a nosotros,familia,inteligencia emocional,Traición,trabajo en grupo,rostro abultado,imposible,frustracion,son parte de la educación,Gobierna un reino,premeditado,hinduismo,humedad,transparencia,responsabilidad,arquitectura gotica,se relaciona con el griego Arquímedes,pueden haber cocodrilos,dedicado a múltiples deidades,Agricultura,manejo de algo,peligro,mundo,localidad,Como teoria ,asiento,oscilacion,alegar,Muestra,atras,Pedirlo con antelación,elástico,perturbación,Batalls de Gallos,horario,medicina ,frutos,Ayuda,duro,destreza,susurro,sensacion,idiotez,agradecimiento,burocracia,verdadero,ser mitológico más famoso,confianza,deja un lugar,añejo,union
10404,añadir,arenga,escorpiones,Dos personas,constructor,redes sociales ,higiene,es fea,ser competente,grafo,trampa,elegante,osadia,Miedo,justicia,respeto ,estilista,Mucho esfuerzo,explorardor,libertino,ánfora,facil de manchar,hombres,estupidez,hacer caso,Antenas,Hueco,chileno,trae bebes,no hay que creer,felicidad,se puede usar maquina,para cruzar los mares,Duro,duracion corta,sin respeto,algo particular,chocolates,"tristeza, alegría, ira, miedo",agradable,Benigna,Peligroso,Súbito ,galaxia,fanatismo,da beneficios,escapar ,puntos de vista,diferente,animales intuitivos,sucesos buenos,disfrutar,espiral,circular,es muy duradero,brasas,del humano,Destrucción,vestigio,energia,Lider ,llegar a un lugar,escondido,arrepentirse de algo,llamativo,irse,montañas ,limpio,tristeza,pena,vinculo,tomar buenas decisiones,Alcohol,liderazgo,cachetona,Poco porbable,destructivos,son distintos dependiendo de la cultura,Poder absoluto sobre el pueblo,ocultamiento,budismo,densa,brillo,cariño,estructuras gigantes ,grados según la forma de aplicarla,shrek,dedicado a múltiples difuntos,Hectáreas ,acierto,pesado,existencia,comunidad,Se produce reflexion,incomodo,movimiento,enojo,Ilusión,volver,Callado,flexible,asombro,Rap,blanco y negro,psicologia ,agricultura,Problema,resistente,agilidad,algo suave,rasgo de personalidad,falta de habilidades,obsequio,fila,su antónimo es invalido,noche,soberbia,se encuentra viajando,ácido,relacion
10405,matemáticas,bancar,veneno,Pensar,personaje popular,medidas,alma,tiene pelo gris,capacitado,dijkstra,matrimonio,ocasion,valentia,lobo,equidad,te identifica,cuidado personal,estomago,experto,vida desordenada,dia de todos los muertos,pijama,tragos,fantatismo ,liderazgo,Centro comercial,Peligro,fuerza,blanca,brujo,Alimentos,costurero,un buque de pasajeros,Blando,infrecuente,loco,especifico de un objeto,el cariño de la mama por un hijo,"tristeza, alegría, ira, miedo",embrujo,Poderosa,Desarrollo,Horror,caracol,poder,piramide,evitar algo,opiniones,incomodidad,asociados a la sensualidad,Riqueza,momento,estrellas ,decisivo,Granito de Arena,fogata,genera cambios,Desastre natural,señal,falta de movimiento,Persona de peso,Sobrevivencia ,sorpresa,dolor,colores chillones,es difícil en la mañana,diversos climas ,estar conciente,lagrimales,tristesa,amigo de mama o papa,desarrollo,Mala intención,posición,hoyuelos en los cachete,Alegría,guerra,van cambiando por épocas,Incuestionable,secreto,espiritual,afecta la visibilidad,puro,compromiso,estan hechos de piedra,mando para cambio de velocidades en vehículos,sapos,templo antiguo en Roma,Campesino,facilidad de hacer algo,malo,habitat,pobreza,Una doctrina,zurdos,fisica,molestia,espejo,egreso,Discreto,mueve la energía,desorden,Respuesta lírica ,aburrimiento,mente ,delicada,Amparo,consistencia,rapidez,aire,estado de ánimo,propio del torpe,reconocimiento,papeles,lo vinculo a algo positivo,sangre,creese mejor,Persona,condimento,familiaridad
10406,contar,tener garra,lanceta ,Competencia,labor necesaria,información,comunicacion,es abuela,se trabaja,lados,trama,importancia,sin miedo,luna,grecia,nacional,trabajador,cuerpo humano,científico,vida simple,final,abuela,cantinero,perdida de tiempo,empatia ,Escalera,Cuidado,abuela,tiene alas,muneco,Verano,llevar la ropa a ajustarse,una aventura en la vida,Molestia,vicio,telenovela ,depende del punto de vista,contrario a amargo,"tristeza, alegría, ira, miedo",puede tener varios significados,Destructiva,Naturaleza,Feo, pintura de van Gogh la noche estrellada,grandeza,clasifica a una persona,es malo dependiendo del caso,Etapas ,feo,peligrosos según su tamaño,Tener muchos bienes,desproporsion,planeta ,arma,Piedra,Fuego,madurez,Viento fuerte,evidencia,cuerpos,Poder,Sustento ,regalo,pena,señal de transito,salir de la cama,Plano,psicologia,gotas,empatia,mujer,responsabilidad,Odio,Orden,cachetada en el rostro,Salvación,muerte,son protocolos,rey,colusion,sagrado,nube,definido,pelicula,la mitologia dice que tiene dragones,barra de mando para accionar algo,ranas,cementerio,porción,no equivocarse,peligroso,escenarios,Población,Sugerencia,pequeño,reloj,retroalimentacion,imagen,retroceder,Que guarda,energia,alboroto,repetición,cansancio,Limpieza,inmadura,Protección ,inamovible,tranquilidad,expresion,surje como respuesta de temor al ambiente,inhábil,muestra de respeto,firmar,comúnmente usado para ver si una pregunta es aceptable,cultura popular,mirarse todo el rato al espejo,Curiosidad,sabores,conexión
10407,aprender,soportar,pinchazo,Juego antiguo,construye casas,publicidad ,aire,es sabia,se desarrolla,de un cubo,problemas,relevancia,sin temor,cuentos,hacer postres,signo,masculino,organo,especializado,vida deorganizada,desecho,dormir,desorden ,iglesia,naval,Arrugas,Oscuridad,papa,tiene pico,miedo,Campo,modificar telas,descanzo,Se pela,satisfaccion,cachetada,cualidad,ternura,estar conmovido o ansioso por algo,puede ser de un hechizo magico,Pacificadora,Donde estamos,Espantapájaros ,viento,Figura,es una ayuda para conseguir mejores trabajos,octubre,Cambios de personalidad ,mala acción,animales con alto grado de independencia,Patrimonio,locura,la fuerza que tiene ,activar,Pequeño,Acampar,reproducción,Pueden tener nombre,muestra,actuar sin pensar,Dominancia,Trabajo,sensacion,perder algo,función publicitaria,dejar de estar en una silla,Amplio,no perdido,velas,pesar,acompañante,depende de la edad de la mental,Rencor,Precepto,golpe en la mejilla,Ayuda,avance tecnologico,no son normas legales,lider supremo,mentira,contemplativo,frio,no borroso,mafioso,tienen varias torres,maquina,barro,edificación con columnas y cúpula,territorio,Malicia,fatal,Cuerpo rocoso,Aldea,afirmación,bajo,masas,problema,mostrar algo,vuelta atras,Lugar de preservación,rebote,algo no esperado,segunda parte,sueldo,Cuidado,crecimiento,Socorro andino ,hielo,algo que no es apretado,sonido de la boca al exhalar lentamente,inhabilita para actividades sociales,inaptitud,admiracion,necesario,un argumento con respeto y sentido cumpliría esto,Plaga,preocuparse por cosas materiales,Aprender,Cocina,lazo
10408,cambiar,mostrar impetu,picar,inteligencia ,maestro,enfermedades,olor,es lenta,se puede medir,figura,reparar,caro,ser emprendedor,sonido,intelectual,pais,hábil,cuarentena,experimentador,vida de bares,descomposición,acostarse,peleas,fe,barco,Alimento,Humedad,carne,tiene plumas,gente ingenua,Grano,unión de telas,oceano,Se come,comida,mentira,fragmento,bondad,estar conmovido o ansioso por algo,puede ser un atributo,Conquistadora,ambiente,Halloween ,remolino,Personificación,la educación sube el estatus,omitir,enfrentamientos de ideologias ,defecto fisico ,tienen garras con uñas afiladas,Ser acaudalado,descontrol,lo poco que se sabe de ella ,presionar,Microscópico ,Marshmallow ,inyectables,Diferencias de presion,prueba,costumbre,Influenciar ,Sacrificio,curiosidad,boliviano,está en la calle ,elevar,Prado,comprender,se pueden evitar,emoción,testigo,adultez,Daño,Mandamiento,bebe cacheton,Luz,larga distancia,Comportamiento,encargado de un grupo de gente,robo,sabio,oscuro,algo claro,amenazante,son antiguos ,fuerza,humedo,Edificio,espacio,Avispado,defender,Cuerpo celeste,Lugar,idea,basico,girar,solucion,copia,perdida de capacidades congnitivas,Que se guarda información,fuerza,sorpresivo,continuación,renta,Atención,pequeña,Petición ,maquina,flexible,puede suceder por cansancio,puede estar asociada a alguna fobia,opuesto de la aptitud,compensacion economica,aburrido,un calculo sin errores seria esto,Murcielago,lo contrario a humildad,Disfrutar,Util,nexo
10924,crecer,identificarse,arma,Juego de mesa,plomero,capacidad,aroma,es amable,diciplina ,de la geometría,ordenar,vestimenta ,ser valiente,agudo,derecho(carrera),equipo,barba,gordo,doctor,vida extravagante,muerto,comodidad,cerveza,pequeño,pirata,Exotico,Grieta,cuchara,aparece en cuentos,magia,Trigo,puntadas,playas,Platano,postre,sin verguenza,parte que constituye un todo,cariño ,"innata, natural del ser humano",como se calificaria a una persona agradable,Existe,hogar,Broma ,relajación ,Arte,posicion ,sobrepasar,agentes de cambio ,anomalia ,tienen caninos afilados,Suerte,pasión,es gigante ,impulsar,Grano facial,Ritual,se clasifican,viento,pista,newton,Sobreponerse a otro,Poder,accion,tendencia negativa,señalética,subir,Alejado,claridad,pena,injusticia,persona especial,fruta dulce,Apropósito,Decreto,dos mejillas,Dios,proyectil,Buenos y malos,el mas alto rango,recreacion,inexplicable,silent hill,facil de ver,dan regalos,hay algunos que son modernos ,desplazamiento,suciedad,Todos los dioses,hogar,Viveza,arma,Mundo,Habitado,hecho,colegio,de los reloj de pie,experiencia,algo que se ve,pasado,pedido,estirar,no agradable,similitud,pago,Limpio,arbol,auxilio,constante,dejar ir,puede suceder por estar enamorado,miedo a la opinión de otros,del incompetente,heroe,importante,cierto,Muerto viviente,engreido,Conocer,Expanta gatos,enlace
10925,función matemática,inspiracion,defensa,Fichas,mario bros,limitación,comida,Humano,responsabilidad,dobléz,ramo de flores,ropa ,atrevimiento,lejano,juegos ,comunidad,usa tijeras,flaco,profesional,vida relacionada al arte,difunto,lencería,alcohol,colegio,sombrero,Lento,Sin fin,caliente,esperanza,brujos,Papas,hechas a mano,diversion,Corteza,dulce,estafa,acercamiento,afecto,representada por gestos faciales,que es atractivo,Está en un lugar,lugar,temor,creatividad,Imagen,rango,evitar,Capacidad para poder cambiar ,irregularidad,peludos,Azar,delirio,energia ,disparar,Fino ,Cocina,propio de cada género,tornado,señal,actuar sin conciencia,Proyeccion ,Beneficio,interes,consecuencia de una situación,informativo,levantar algo,Vegetación,esclarecimiento,llanto,indefensos,amiga,se espera eso de un profesional,Demonio,Ley,rostro abultado,Santos,desarrolado por cientificos,Reglas sociales,presidente,opinion,misterioso,lluvia,los lentes ayudan ,tienen mas de 30 años,mucho dinero,peso,estanque,Italia,comunidad,Aprovechar oportunidades y circunstancias,industria millonaria,Astro,Concurrido ,hipótesis,mesa,se mueve,salir,alma,retorno a un lugar,restaurant,escalera,pasar a llevar,lo que viene después de un terremoto,mesada,Salud,de donde nace la naturaleza,ayuda,validez,agil,el suspiro limeño es un postre,puede ser manejada,dificultad para hacer tareas,rey,postergacion,afirmativo,Enemigo clasico,ser sobrado,Escape de rutina,Olor fuerte,amigos
10926,inicio,perseverancia ,ataque,Casillas,azul,carrera,esfuerzo,Vieja,habilidades,lineas,volver a funcionar,facha,atreverse a hacer ,soledad,peso,arraigo,usa navaja,cerveza,experienciado,vida relacionada a la cultura,asesinado,encaje,ebrios,barrio,mar,Comida,oscuro,campo,nuevo integrante,fantastico,Campesino,hechas con máquina,entretencion,Naranja,pequeño,arribista,análisis profundo,sentimiento,sistema límbico,que es lindo,organizacion,percepcion,sorpresa,caracol,Escultura,apariencia,escapar,Efectivas ,desprolijo,son pacientes,Destino,enajenación,Cúmulo de astros y cuerpos celestes,percutar,Cuarzo,Fogata,biologia,destrucción,indicación de un acontecimiento,fisica,Idea movilizadora,Monedas,tension,disculpa,auxiliar,subir ,Relajo,vislumbrar,sueño,ternura,cercana,cualidad que puede tener un ser humano,maldad,Se debe Cumplir,Cachete,Espíritu santo,explosion,Se aprenden en casa,jefe monarquia,hacer creer,etéreo,mojado,no es molesto de mirar,se genera un vinculo,Grande,fisica,pegajoso,Roma,animales,busqueda,esta en las guerras,Gira alrededor de una estrella,Caserio,base de razonamiento,silla,tiene un movimiento constante,no volver,introspeccion,devolver algo,pre,amortiguador,perturbar,trago dieciochero ,haberes,Bienestar,feto,urgencia,estable,habil,en las series lo hacen por el desamor,se asocia a la introversión,tonto,regalos,documentos,con argumentos,sangre,me imagino a una persona con muchas joyas,Se necesita dinero,vino pasado,familia
10927,sumar,fuerza,dolor,Requiere astucia,sujeto grande,llegar a una meta,empuje,Adulto Mayor,conocimiento,cambio de ángulo,ponerse de acuerdo en algo,vestidura,Hacer lo que quiero,suspenso,equilibrio,simbolo,amable,dieta,culto,canción de Queen,suicidio,ropa,bartender,catolicismo,naviera,Aureo,araña,comida,bebe,invocacion,Producción Agrícola,hechas con aguja e hilo,casino,protectora,chuparse los dedos,no honesto,importante en el arte realista,ternura,amígdala,que es hermoso,grupo,espacio,repentino,tallarines,arte ,modo de actuar,salir,Enfrentarse a diferentes escenarios ,trabajo mal hecho,adorables,plata ,exageración,Cúmulo de astros y cuerpos celestes,detonar,Material,Señales de humo,salud,desastre natural,rastro,movimiento,Hegemonia,Abundancia ,Desconocimiento ,estado,entrega información,despertar,Terreno,sacarse la venda,lubricación,remordimiento,que acepta responsabilidad,es difícil de medir,diablo,No se puede pasar por alto,Buen lugar para abofetear ,inexplicable,guerra,Reglas básicas,dictador,omitir,inefable,sin vision,algunas personas no ven nitidamente,tienen un ahijado,Lujoso,resistencia,Película de shrek ,Dioses romanos,naturaleza,investigación,puede servir para defenderse,Cuerpo Gaseoso,gente ,anuncio,alumno,oscila,astuto,verse a uno mismo,retractarse ,consumo,auto,molestar,una zona se mueve por pocos segundos,sueldo,Pureza,vida,grito,balanceado,seguridad,en las series lo hacen por la tristeza,no es necesariamente un rasgo negativo,lento,merecido,pasos a seguir,respaldos,dracula,es una característica negativa,Maravillarse,agrio,link
