adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
extra,,,['reina'],arregla cosa,llegar meta,,arruga,mejor demá,punta,trampa,,valentir,,['luz'],nacional,['pelo'],vientre,['ciencia'],despreocupación,ataúd,,,jesús,barco,['centro comercial'],sucio,,gaviota bolsa pico,magico,['fruta'],zapato,navegación,coco,gustoso,desvergüenza,pequeño,azucar,['resultado interacción'],['disney'],existir forma determinado,concecuencia positiva,malestar,galaxia,['escultura'],presente,evitar,manera ser,defecto,['peludo'],buen suerte,si,ilucion,pieza arma,cuarzo,castigo bruja,caracter sexual,calor,pista,cuerpo,sobreponer él,entrar algun lugar,desconocido,luto,['ayuda'],motivacion,campo abierto,vidrio limpio,['gota'],pena,adulto,tiempo,persona mala,decreto,cachete,dificil,['nuclear'],conducta,dirigir reino,crear,budismo,humo,bien enfocado,mafia,mansion,utilizado competición salto,['enfermedad'],arquitectura,porción,procedicmiento,['peligroso'],['materia espacio gravedad'],caserío,proponer,estudio,ejemplo,juicio,igualdad,propiedad,parque santuario naturaleza,salto,producir gran,similitud,remuneración,['bienestar'],agua,peligro,resistente,agilidad,cansancio,emocion,necesitar revisión,gobernante,documento,autentico,chupar sangre,imagino persona mucho joya,cultura,acir,felicidad
operación básico,,,['guerra'],necesitar vez,seguir,,tercero edad,inteligencia,borde,matrimonio,,valor,,['oscuridad'],chile,['barba'],protuberancia,['estudio vida'],intelectual,analizar forense,,,iglesia,líder,['escalera'],refugio,,flamenco blanco,brujeer,['recolectar'],tejer,pasear,nuez,manjar,desfachatez,mínimo,sabor dulce,['diferente persona'],['agradable'],organización colectivo considerado unidad,consecuencia negativa,impresión,caracol,['obra arte'],nivel,responsabilidad,parte,irregularidad,['garra'],dinero,alegrio desbordante,negro,seguro,material,fuego,cuerpo humano,frio,saber ocurrirar despu ver,reposo,proyeccion,flujo dinero,interés,llorar,['favorable'],imperativo,terreno plano,atento,['gota producir glandula lagrimal'],misericorida,refugio,conocimiento,creuladad,promulgado autoridad,buen lugar abofetear,fe,['destruccion'],norma,portar corona,inventar,espiritual,visible,mejor calidad imagen,familia,casa grande,barra apoyar poder girar,['humedad'],atractivo turístico,territorio,dominio técnica,['fatal'],['espacio'],localidad pequeño,sospechar,puesto,movimiento angular,producto defectuoso,imagen,reencuentro,provisión,componente,producir alborotir,venir después terremoto,honorario,['buen cuidado cuerpo'],tierra,necesitar ser rescatado,estructura,desenvolturar,susurro,verguenza,falta conocimiento,miedo,paso seguir,efectivo,salir noche,característico negativo,obra arte,agrio,tristeza
sumar,,,['juego'],ir casa,perseguir,,grupo riesgo,destreza,vertiz,tramar,,arrojo,,['serenidad'],fiesta patria,['corte cabello'],parte medio,['profesional'],relajado,difuntir,,,grupo eclesiastico,jefe embarcación,['arruga'],alegorio,,ave pierna larga,práctica oscura,['verdura'],unir hi él,trasatlántico,fruta,encanto,frescura,menor,sensación dar ver pareja enamorado,['tristesa'],['hechacer'],organización colectivo considerado unidad,impacto,reacción negativo,pintura ir gogh noche estrellado,['representación tres dimensión figurar'],escala,miedo,distinto tiempo,asimeter,['rasguñar'],azar,delirio,oscuridad,detonador,cafe,acampar,reacción,velocidad,sensacion saber pasar,quitar,idea movilizadorar,pertenecer grupo,curiosidad,cansancio,['leer'],punto cardinal,planiciar,ebrio,['gota'],empatiar,familia,vivir,beneficio propio,poder poder ser concedido,enrrojecir,inesperado,['conflicto'],acción,figurar representar poder absoluto,ilusionar,sagrado,molestia,sonido,figurar paterna,lujo,mango,['verde'],cúpular,espacio,habilidad,['defender'],['sistema solar'],villa,probabilidad,trabajo,angulo,servicio defectuoso,espejo,poco permanencia,responer,pieza util,genero gran desordir,trago dieciochero,jornal,['aplicar partir servicio público privado'],crecer,pedir si punto morir,concreto,descaro,suave,dificultad,espacio aprender,respetar,tema administrativo,real,debil ajo,arrogante,nuevo terreno,poder venir fruta verdura,union
sustración,,,['antiguedad'],solucionar problema,lograr tomar,,sabidurio,ser mejor,diagonal,problema,,osadir,,['universo'],nacionalismo,['local'],estomago,"['animal', 'planta humano']",anticonvencional,cuerpo vida,,,centro reunión,altamar,['alimento'],esperanza,,ave grande poder volar,misterioso,['campo'],coser,embarcación,verdura,gozo,audacia,terminación,ternura,['miedo'],['hechacer'],ente,rodear,nota cara,viento,['resultado acción esculpir'],escalafón,desagrado,poder referir él persona situación,desfigurado,['arañar'],riqueza,exaltación animo,creacion,percutor,oro,fogata,poder provocar manifestación físico,destrucción,intuitivo,atracción,hegemonia,entrada,chisme,dolor,['figura'],arriba,pradera,mentalmente activo,['tristeza'],triste,tia,crecer,sufrimiento,gobierno,emoción verguenza provocar poner rojo,increible,['odio'],manera,residir tres poder,ambiente,contemplativo,peligro,calidad,responsabilidad,edificio,punto apoyo,['piedra'],cúpular abierto,hogar,detectivar,['arma'],['luna'],carácter rural rústico,teorio,sentado,frecuencia,cliente insatisfecho,similar,volver,reemplazo,pieza,desordir,zona mover poco segundo,retribución,['aplicar partir servicio público privado'],estar fruto,expresión grito,muro,facilidad,aire,autismo,poder mejorar,impuesto,alguien solicitar realizar,cualidad,poder ver reflejo,apariencia,turista,poder venir fruta verdura,relacion
matemático,,,['cuadrado'],trabajador,distancia,,bruja disney,capacidad hacer,teorema,reparar,,decisión,,['medicion'],patriotismo,['cuarentena'],panza,"['animal', 'planta humano']",libertino,cementerio,,,religion,océano,['exotico'],roca,,ave,maldad,['agricultura'],punto,nave,duro,contento,atrevimiento,relevante,dulzor,['disgusto'],['atracción'],definición filosóficar administrativa-jurídico,cambiante,susto,remolino,"['hecho madera', 'metal', 'aleación piedra']",pirámidir,habilidad,poder referir él persona situación,desarmonir,['maúllar'],herencia,vilencia,estrella,disparador,pequeño,lugar cocinar marshmallow,biología,desastrar natural,servir señal,gravedad,manipulacion,puerta,secreto,tristeza,['llamativo'],parar él,llano,despierto,['angustiar'],comprender,segundo madre,fruta,actuar maldad,aviso,servir prueba ver si alguien enfermo,maravilla,['frustracion'],forma,gobernar derecho divino,teatro,sabio,clima,enfoque,cariño,gobierno,tirar alanco,['rio'],antigüedad,comunidad,capacidad,['industria millonario'],['centro gravedad'],carácter rural rústico,producir reflexion,estudio,longitud,error,luz,retornar,suplente,rebote,confusión,movimiento leve placa tectónica,ganancia,['contaminado'],crecer planta,grito miedo,dificil romper,prontitud,expresion,social,poder crecer,gasto publico,tedioso,valor,criaturar forma humano,soberbiar,trasladar distinto lugar,jugo limon peor sabor,familiaridad
educación primar,,,['tablerir'],repar tubería,aproximación,,arruga,poder desarrollar,extremo,ordenar,,firmeza,,['calcular'],país,['mall'],vientre,"['animal', 'planta humano']",vida desordenado,carne gusano,,,resguardo,fuerza armada,['lento'],luz,,ala,invocar demonio,['ganar'],hacer crear ropa,barco,blar,,insolencia,especificar,sensación sient ver tierno,['enojo'],['amarrir'],definición filosóficar administrativa-jurídico,relevante,poder ser asco,relajación,['esfinge'],social,estadisticar,cambiante,contrario belleza,['dormilón'],alto precio,impetuoso,universo,provocador,diminutir,calor,anatomía,viento fuerte,augurio,fisicar,cambio postura,aduán,personal,perdido,['grande'],levar ancla,explanado,claridad,['perdido ser querido'],lamento,tradición familiar,sabidurio,malo,carácter obligatoriedad,lugar comúnmente piñicer,suceso,['destructivo'],modo,llegar cargo derecho sucesión hereditario,intervencion,inexplicable,condición climático,concreto,compromiso,congreso,manguetar,['verde'],lugar,animal,forense,['guerra'],['fuerza'],pueblo,doctrina,simple,movimiento cíclico,mal servicio,involuntario,reintegrar,persona relevar posición juego,forma hélizar,alborotir,copia casi exacto,nómina,['poder hacer referencia limpieza buen'],ave comen,apoyo persona,resistir mucho presión,gracia,sonido bocar exhalar lentamente,fobiar,accidente,obligatorio,proceso,aceptado,símbolo hallowear,opinión,poder ser tiempo viaje corto largo,condimento,conexión
resta,,,['tablerir'],oficio,sugerencia,,muerte,aprendizaje práctica,,ramo flor,,atrevimiento,,['peso'],flamear aire,['afeitado'],tripo,['investigador'],vida simple,putrefacción,,,misa,lider,['comida'],filosofia,,pata larga,excorsismo,['sur'],pasatiempo abuela,grande,molestia,,osadia,diferenciar,sensación sient comer dulce,['mente'],['gusto'],asociación persona,ambiente,poder ser traumatico,creatividad,['monumento'],condición,entrenamiento,etapa,repugnante,['ronronear'],patrimonio,frenetico,espacio,originador,unidad,olor madera quemado,desencadenar respuesta,poder tener nombre,anuncio futuro,newton,cotrolador,dinero,unico,sensacion negativo,['entrega informacion'],marchar él,meseta,pensamiento coherente,['lamento'],caridad,amiga padre,inteligencia emocional,mira autobeneficio,imperativo,parte mas carnós cara,evento,['guerra'],elegancia,representante principal forma gobierno existir edad medio,orden elemento,misterioso,vapor,limpio,pelicular,museo,alzaprima,['vegetacion'],centro batalla,naturaleza,homicidio,['poder servir defender él'],['vida'],todo población conocer debido pequeño tamaño,sugerencia,efectivo,tiempo,derecho,automatico,reaparición,utilizar caso tener problema futuro,energía potencial,agitacion,cuadro famoso millón,ingreso,['bienestar'],distinto forma tamaño,poder pedir él ver fantasma,mármol,libertad,poder suceder cansancio,tartamudeo,tonto,pagar contibución,sistematico,correcto,mayor representante conde dracular,aspecto,usar algun medio transporte,liquido acir,lazo
ir colegio,,,['pieza'],carrera,conexión,,necesitado,aprendizaje práctica,,volver funcionar,,determinación,,['masa'],patria,['elegancia'],estimado abundante,['amante animal'],vida deorganizado,occiso,,,religión,diligencia,['aureo'],verdad,,relacionado beb,círculo protección,['tierra'],metodo juntar hi él,pasajero,pela,,caradura,regalo,contrario amargo,['forma ser'],['sentimiento'],reunión,rodear,miedo,caracol,['busto'],prestigio,esfuerzo,cara,desagradable,['gato'],destino,locura,cosmos,tirador,individual,llama,supervivencia,diferencia presion,señal,movimiento,alterar forma actuar,venta,interesante,arrepentimiento,['pulbicidad'],ir él,presentar accidente terreno,realidad,['sufrimiento'],compasion,comadre,tomar buena decisión,generalmente perjudicar tercero,poder ser estipulado manera verbal escrito,cachete,divinidad,['muerte'],clase,jefe monarquía,cine,etéreir,agua,pulcrir,mafioso,aristocracia,funcionar interruptor,['agua'],combatir,campo,investigación,['poder usar él amenzar'],['distinto compuesto'],acceso servicio básico,afirmación,curso,reloj,petición,haber estimulo,reincorporación,discreción,saltar,locura,ilegal hacer firma,mensualidad,['limpieza'],distinto forma tamaño,usual escuchar él película terror,rocar,flexible,poder suceder enamorado,conducta,preciso,permitir financiar proyecto,largo,valor,asociar época medieval,poseer persona,mundo,servir limpiar,nexo
aprender sumar,,,['regla'],requerir conocimiento técnico,puente,,pelo blanco,necesario desarrollar él,,poner él acuerdo,,empujar,,['equidad'],pedazo telar,['futbol'],vientre abultado,['animal'],vida bar,muerte,,,iglesia,dinamismo,['caparazón'],cueva,,pluma,mala art,['lluvia'],poder unir hi él mano maquín,vacación,come,,descortesía,pequeño apreciación,contrario salado,['cerebro'],['brillo'],colectivo,contexto,espantar pajaro,tallarín,"['representación religioso', 'simbólico histórico']",mantener,talento,paso,repelente,"['tigre', 'león']",bien,delirio,astronomia,palanco,componente,bruja,humano animal,viento,algun sintomar,complicado,pensamiento,salario,misterio,remordimiento,['comunicado publico'],difícil mañana,planiciar,droga cuerpo,['adversidad'],dolor,viejo mierdar,desarrollo,intencion maldad,regla,cara,inexplicable,['avance tecnologico'],correcto,rey,falso,inefable,condensación,bueno,amenazante,reyes,utilidad levantar cosa bajar lado,['agua movimiento'],reunir él,vacación,pdi,['bala matar'],['distinto tamaño'],alejado ciudad,idea,colegio,vaiver,exigencia,tiempo reaccion infimo,venido,guardar lugar,suspensión,descontrol,ilegal hacer firma,dinero,['buen salud'],necesitar agua desarrollar él,ayuda,acero,adaptativo,limeño postre,aprendizaje,bruto,ofrendir,lento,verdadero,demonio,poder ser ver bueno malo,descanzo,alcohol,enlace
mas,,,['jerarquia'],trabajo,mejoría,,uva pasa,trabajable,,solucionar problema,,osadia,,['igualdad'],diferente color,['hobbie'],embarazado,['vida'],vida extravagante,putrefacción,,,congregación,sabidurio,['baboso'],gruto,,blanco negro,,['recolectar'],poder unir hi él mano maquín,diversion,platano,,incorrecto,descripción,ternura,['estimulo'],['hechacer'],corporación individuo,contexto,mucho vez usar exagerar,remolino,"['representación religioso', 'simbólico histórico']",mejorar,genetico,instrucción,antiestetico,['ferocidad'],éxito,exaltación,nebulós,detonante,arena,juana arco,humano animal,tornado,rastro,común,idea,bono,curiosidad,disculpa,['regla comunidad'],salir cama,tierra desnivel,pureza,['aflicción'],queja,bautizo,responsabilidad,picarezco,contrato 2 persona,suave,religion,['largo distancia'],formal,monarquía,preparado,ascético,poco vision,cosotoso,dar regalo,riqueza,funcionar polea,['pelicula terror'],griego,gran terreno,,['disparar'],['sistema solar'],población habitado,hecho,pequeño,herramienta hipnosis,promesa cumplido,superficie reflejar,reanudación,ser precavido,amortiguador,gran participación,duplicado,renta,['buen'],necesitar sol desarrollar él,desesperacion,firme,falta rigidez,serie hacer desamor,miedo relacionar él,baja motricidad fino,dinero,nadie gustar hacer él,antónimo invalido,asocia murcielago,implicar apariencia fisica,aventurero,parecido venir,amigo
sumar dedo,,,['estrategia'],casa,elongación,,olor cigarro eucalipto,lograr,,estructura,,valentia,,['equiparacion'],cultura,['peluquero'],gordura,['esfuerzo'],vida relacionado arte,tumba,,,lugar oración,protección,['animal'],profundidad,,crotoreo sonido peculiar,,['planta'],crea disfraz,playa,corteza,,incorrecto,detallar dato,cariño,['amigdalar'],['magia'],sociedad,lugar,sentimiento,escalera infinito,"['representación religioso', 'simbólico histórico']",conseguir,innato,predeterminado,contrario armónico,['independencia'],dinero,exitación,polvo,disparo,imperfección piel,quemar,reproducción,destrucción,evidencia preliminar,ciencia,cambio,salida,interesante,tristeza,['advertencia'],dejar silla,campo,presencia,['sollozar'],tristeza,hijo,depender edad mental,daño,decreto,gordar,manifestacion,['proyectil'],educación,jefe,artificial,relacionado misticismo,nube baja,definido,mas 30 año,residencia monarca familia,barra,['poder haber cocodrilo'],obra arte,campo,,"['clavo', 'siliconar', 'etc']",['atmósfera'],población habitado,hipótesis,optimir,peso colgante,mujer,imagen poder invertir,resurgimiento,guardar después,absorber energiar,desacuerdo,chile generalmente mucho,trabajo,['coronavirus'],humano usar cultivar,exclamacion,concreto,confianza,serie hacer tristeza,inseguridad personal,aprender,regalo,moderno,vinculo positivo,palido,implicar opinión ajeno,hogar,acir,familia
sumar,,,['competencia'],construcción,tiempo,,paciencia,beneficio,,flor,,miedo,,['objeto'],historia,['rapador'],hombre gordo,['prueba'],vida relacionado cultura,funeral,,,distinto religión,apoyo,['insecto'],oscuro,,viajar cielo,,['fruta'],hacer arreglar peluch roto,juegos,naranjar,,,mínimo,buen trato,['desencadenar pensamiento'],['baritar'],conjunto persona mismo fin,mundo,generar reacción cuerpo,bordar cuaderno,"['rigidez firmeza', 'imponente', 'estático']",nivel,esquivar,origen fin,,['cariñoso'],herencia,agitación,estrella,arma,sal,calor,miedo,desastrar natural,manifestacion,naturaleza,misterio,congestión,gana saber,perdón,['parir'],elevar,tipo geografía,apreciación,['llanto'],pena,familia,adultez,perjurio,acuerdo común,raspós,improbale,['desarrolado cientifico'],costumbre educado,soberano,engaño,misterioso,humedo,complejo,generar vinculo,castillo,subir baja,['shrek'],antiguo,casa,,['ruidosa fuego'],['tierra'],lugar habitado,base razonamiento,escuela,reloj,callcenter,espejo,devolver él,guardar,elástico,conflicto,mucho vez percibir,remuneracion,['limpieza'],planta,necesidad,estable,seguridad,soplar tranquilidad,incapacidad comunicar él,ser terco,respetar,papeleo,comúnmente usado ver si preguntar aceptable,chupar sangre,vano,movimiento,aliñar ensalada,link
junta,,,['juego'],empresa,distancia proximidad,,pequeño,regla,,dato,,temor,,['herramiento'],tortura,['afeitador'],parrillero,['trabajo'],canción queir,cementerio,,,silencio,jerarquir,['antena'],subterráneo,,migratorio,,['verdura'],coser,descanso,protector,,,resumir,afable,['llanto'],['harry potter'],ser,ecosistema,horrible,lindo diseño,"['rigidez firmeza', 'imponente', 'estático']",social,flexible,detonante,,['domesticabl'],suerte,bailar,planeta,inicidador,circular,fuego,biología,mago oz,prueba,reposo,poder,cine,pregunta,arrepentimiento,['ceda paso'],subir,desierto,biologico,['tristeza'],dolor emocional,iglesia,fruta dulce,perspicacia,representación,blando,inesperado,['explosion'],elegante,poder absoluto,carabinero,relacionado oculto,oscuridad,claro,ahijado,castillo,balancín,['sapo'],templo,espacio delimitar,,['arma'],"['orbitar estrella', 'sol']",mucho persona habitar ahí,anuncio,enseñanza,pico,sernac,cara,volver,solicitud,volver forma,daño,segundo oportunidad,pago,['salud'],vida,ansiedad,macacer,sinceridad,poder sueño incumplido,gente callado,tropezar él,impuesto,burocracia,argumento respetar cumplir,utilizar capa,estimar,joven,desinfectar herida,relación
union,,,['juego'],dinero,posibilidad,,jardinerio,requerimiento,,orden,,ser emprendedor,,['instrumento'],muerte,['peluquero facial'],estomago,['cientifico'],region czech lands,morgue,,,lugar paz,jefe armado,['escalera'],guarido,,poner huevo,,['trigo'],ajustable,hotel,engendradoro,,,pequeñez,trato suave,['susto'],['atractivo'],ente,sociedad,causa miedo,mirarla buen rato marea,"['rigidez firmeza', 'imponente', 'estático']",socio-económico,manejo corporal,inicio,,['mascota'],oro,locura,sistema solar,letal,pequeño,combustión,cuerpo humano,wicked,acertijo,accion,drácular,universidad,secreto,cementerio,['publicidad'],levantar,soledad,agilidad mental,['llorar'],compasion,,esperar profesional,malvado,orden,persona saludar ahi,mistico,['guerra'],obediencia,rey,película,relacionado dios,misterio,claro,adulto,fortaleza,pasar cambio,['rana'],dios griego,chicureo,,['bala'],['cuerpo celestar'],pequeño ciudad,aviso,estudiante,tiempo,alegato,distorsión,dar vuelta,mediante medio,alambre,perdida,repetir,poder,['costumbre'],alimento,aprieto,claro,descontrol,expresar profundo acto físico,miedo ser juzgado,malo inteligencia espacial,homenaje,obligación,calculo error serio,caracterizar colmillo grande,necesidad reconocimiento,aventurero,eliminar piojo,unión
agregar,,,['logica'],mal pagado,ranguir,,bastón,personal,,puntero,,ser valiente,,['medida'],democracia,['persona afeitar barba'],guato,['investigacion'],estilo vida,hallowear,,,vestimento acorde,fuerza armada,['espiral'],túnel,,animal,,['campo'],ropa,mar,recipiente,,,narracion detallado,liviano pensamiento,['feliz'],['buen cualidad persona'],ser vivir,ambiente,agradable,locura,['monumento'],poder jerarquizar según,esquivar,forma ser,,['diente afilado'],poder ser buen malo,repidez,cúmulo,rapir,azucar,iluminar noche,parte cuerpo,fuerza,inclinación razon,llevar impulso,oculto,salario,informacion incompleta,muro,['semaforir'],subir,clima extremo,sobrio,['pena'],tristeza,,cualidad poder tener ser humano,contrario bueno,regimar,sonrojar,divino,['explosión'],gesto formalidad,guardar,hollywood,relativo misticismo,carretera,televisión,general elegir par,lujo,frenar,['barro'],sementerio,campo,,['disparo'],['gravedad'],sistema actual,noticia,bolsón,oscilación,telefono,agua,regresar,hábitat natural,newton,incomprensión,intentar,capacidad,['habito'],inicio,situacion complicado,,incomprension,conllevar emoción,personalidad solitaria,lesión,simulacion,demoroso,cierto,ver espejo,falta auto conocimiento,aprovechar vida,olor fuerte,pareja
fusión,,,['blanco negro'],acondicionamiento fisico,trascendencia,,arruga,esfuerzo,,floral,,atrevimiento,,['peso'],político,['maestro útil facial barba'],salir tomar mucho cerveza,['ciencia natural'],preferencia cultura,susto,,,fe,jefe,['lento'],agujerir,,pajaro,,['agricultura'],exacto,diversión,poder sacar uña,,,explicación extendido,persona amoroso,['triste'],"['encantador', 'personaje shrek']",unifor yo,paisaje,causa panico,paso tiempo,['cara persona material robusto'],dar beneficio,evitar enfrentar él problema,depender contexto,,['suave'],persona riqueza,velocidad,estrella,sutil,servir exfoliar piel,rito,necesario,miedo,huella,masa movimiento,tramar,entrada,rumor,termino relacion,['carretera'],despertar,brecha,activo,['depresión'],ternura,,difícil medir,maldad,dictado ley,pomulo,improbable,['destrucción'],enseñanza,jerarquia,computación,relacionado espiritual,camanchacar,definido,segundo padre,inmensidad,sistema fre yo,['humedo'],honrar antepasado,poco hectarea,,['puntería'],['entorno'],pobreza,principio,sala clase,fisicar,correo,revés,retornar,proteccion,fuerza,escandalo,insistir,sobrevivencia,['beneficio'],delicado,oportunidad ayudar,,inadecuado,respirar,miedo expresar él,inepto,cover,desagradable,afirmativo,alma,,mucho historia,color,familia
sumar,,,['inteligencia'],esfuerzo,valor,,espalda encorbado,dedicacion,,flor,,atrever él hacer,,['simbolir justicia'],régimen,['afeitadorar humano'],comer,['verde'],alguien impulsivo,muerte,,,dios,cabeza equipo,['caracola'],cavidad,,blanco,,['rural'],utilizar hi él,viaje,poder sacar cuchillo,,,pequeño,alegrio,['enojado'],['atrayente'],parcialmente desconocido,rodear,desear,bobín,['obra arte'],piramidir,pagar impuesto,distinto,,['gato'],suerte,energiar,planeta,facil,pequeño rotura gran rocar,fogata grande,proceso hormonal,causa terror,vislumbrante,energiar cientico,oscuro,fila esperar,generar atención,fallar,['pasar llave'],posicionar,escás,atento,['discusión'],lamento,,distinto nivel,picardio,incuestionable,aparecer espinilla,sorpresivo,['cuba'],educacion,riqueza,programa software,experiencia espiritual,peligro,hd,papá,castillo,palo,['suciedad'],grande pilar,campo,,['policía'],['vida'],autosuficiencia,base,tarea,calculo,superintendencia,engañoso,retroceder,resguardo,saltar,control,inevitable,recompenso,['prevención'],regar,miedo,,ancho,exhalar,asocia autismo,weon,intentar imitar alguien respetar,poder ser importante,argumento,sangre frio,,proactivo,mezclable,amigo
incrementar,,,['tiempo'],músculo,seguimiento,,lent,dominar tecnico,,solucionar,,hacer querer,,['punto equilibrio'],telar,['peluquero hombre'],abdominal caído,['estudiar vida'],alguien vivir mente,inmovil,,,silencio,lider,['babós'],socavón,,pico largo,,['beneficio'],corregible,entretención,naranjar,,,significativo,buena vibra,['aliviado'],['agradable'],fantasma,lugar físico,asustar,varios circulo,['escultura'],clasificar persona,impuesto,etapa,,['pumas'],dinero,potencia,año luz,matar,poder ser distinto color sabor,llama,crecimiento,problematico,principio,frena,manipulación,entrada,test embarazo,apoyo emocional,,poner encima,desierto,alerta,['gota'],pena,,hacer mirar vida forma diferente,desconfianza,penitencia,rostro,extraño,['rusia'],caballerosidad,gobierno,modernidad,surreal,clima,,imagen paternidad,mansión,barra,['estancar'],lleno pequeño detalle,pasto,,['muerte'],['ecosistema'],desolacion,idea,compañero curso,tension,,poder ser diferente superficie,reaparecer,guardar lugar,cama saltarinar,noticia importante,iterable,adquisición,['salud'],amor,auxilio,,flexible,aspirar profundamente,preferir solo,inútil,intentar imitar alguien respetar,rutín,respaldo,nocturno,,decidido,cocina,matrimonio
aumentar,,,['tactico'],trabajador,conseguir lograr,,dentaduro,vocacion,,enmendar,,tener miedo,,"['diferente sistema medida kg', 'lb', 'etc']",patriotismo,['estereotipo leñador'],calugas caído,['ciencia'],arte,frio,,,fe,persona influyente,['cachito'],cavidad subterraneo,,volar,,['utilidad'],bordado,barco,vez poder comer,,,regalo,buen corazon,['exaltado'],['embrujo'],dios,marco,poder ser gracioso vez,giran alrededor eje,['realizar artista'],ayuda conseguir mejor trabajo,metro santiago,personalidad cambiar,,['león'],destino,irracionalidad,vida extraterrestre,mortal,poder ser distinto color sabor,caliente,celula,unido,inicio,llevar vuelo,astrologia,poder ser monetario,película,frustracion,,agarrar,arena,consciente,['tristeza'],verguenza,,adquirir tiempo,mal intencionado,presidente,cachete,inexplicable,['unido'],crianza,anticuado,extender límite espectáculo,imaginario,atrapa niebla,,lazo directo,esplendor,maniobrable,['pegajoso'],poder tener escultura,arbol,,['guerra'],['deterioro'],independencia,discusión,juegos,,,poder ser exacto,volver,vip,lapiz,,predecible,remuneración,['sano'],nacimiento,ayuda,,agil,aspirar largo tiempo,sentimiento,lento,pago dinero alguno accion,tiempo,adecuado,quemar sol,,valiente,venir botellar,conexion emocional
operación matemático,,,['competencia'],mano sucia,perseguir sentimiento,,faldar largo,cualidad,,orden,,valiente,,['fuerza normal'],emblema,['salon belleza'],ombligo encima,['mar'],alcoholico,inherte,,,creencia,alguien mandar,['sol'],hoyo piedra,,pluma,,['tierra'],sutura,caribir,nuez duro,,,llamativo,delicioso,['llorar'],['poder tener varios significado'],ser sobrenatural,hábitat,persona poder poseer,dar vuelta,['representar alguien'],educación subir,bala,etapa,,['rapido'],poder cambiar él,estallir,astronomos cientifico estudiar,pistola,si compactar fuerte poder formar piedra,fuego,desarrollo,devastador,punto partido,imparable,mal,accede,noticia,resignación,,elevar,lugar plano,claro,['dolor'],golpear,,basa experiencia vida,maligno,duración 4 año,color rosa,dios,['atomico'],inculcar,rey,poder ser dañino socieda,increible,agua condensado,,personal,monumento,leer,['película shrek'],sepultar,casa campo,,['protección'],['elemento'],lleno gente,conversación,manzán,,,proyeccion,volver lugar,restaurante,shock,,cantidad,minero norte,['ser limpio'],cultivo,situación peligro,,,falta aire,vergonsozo,tonto,reconocimiento,necesitar mover él,propio concepto,sangre,,persona interesante,condimento,intangible
positivo,,,['dificil'],fuerte,alcanzar meta,,caminatar lento,habil,,desordir,,alguien agalla,,['poder laboratorio'],identificación,['cortador'],gordo,['célula'],drogadiccion,dejar funcionar,,,sagrado,lider equipo fútbol,['jardín'],orificio piedra,,pata larga,,['sembrar'],perfeccion,guerra,poder compostar,,,error,chocolate,['gritar'],['poder ser hechacer magico'],ser omnipotent,escenario,u alguien poder producir él,redondo,['figurar'],posicion,,distinto cara,,['agil'],éxito,repentino,fraccion universo,pistola,pequeño,servir calentar,innato,equipo futbol,pista,movimiento,manipular,,sentimiento,sentimiento negativo,,accion,planiciar,transparente,['ojo'],vénganza,,niño,villano,rey,cara,iglesia,['arma guerra'],actuar forma correcto,soberano,etico,sacado cuento,choque,,familiar,riqueza,ejercer fuerza,['cuento disney'],muerte,poder comprar,,['metal'],['espacio'],pueblo,debate,aprendizaje,,,involuntario,reingreso,provisión,amortiguación,,proceder,pago,['higienir'],granjar,necesidad,,,fin,miedo,,honor,busqueda solucion,asegurar,colmillo,,perosona multicultural,cocina,poder haber relación mascota
