adición,aguante,aguijón,ajedrez,albañil,alcance,aliento,anciana,aptitud,aristas,arreglo,atuendo,audacia,aullido,balanza,bandera,barbero,barriga,biólogo,bohemia,cadáver,camisón,cantina,capilla,capitán,caracol,caverna,cazuela,cigüeña,conjuro,cosecha,costura,crucero,cáscara,delicia,descaro,detalle,dulzura,emoción,encanto,entidad,entorno,espanto,espiral,estatua,estatus,evasión,facetas,fealdad,felinos,fortuna,frenesí,galaxia,gatillo,granito,hoguera,hormona,huracán,indicio,inercia,influjo,ingreso,intriga,lamento,letrero,levante,llanura,lucidez,lágrima,lástima,madrina,madurez,malicia,mandato,mejilla,milagro,misiles,modales,monarca,montaje,místico,neblina,nitidez,padrino,palacio,palanca,pantano,panteón,parcela,pericia,pistola,planeta,poblado,premisa,pupitre,péndulo,reclamo,reflejo,regreso,reserva,resorte,revuelo,réplica,salario,sanidad,semilla,socorro,solidez,soltura,suspiro,timidez,torpeza,tributo,trámite,validez,vampiro,vanidad,viajero,vinagre,vínculo
sumar,frio,abejo,morir rey acabar juego,casco,meta,frio,dolor lumbar,persona,matemática,,combinación,destreza,lobo,themis,identificar grupo persona,dar él gusto,estomago,sistema,['estilo'],persona fallecido,velar,pistola,lugar orar,jefe fuerza armada,secreto líquido semi-viscoso,murcielago,comida,pata larga,terror,agricultura,peluche,capitán,['amargo mal sabor'],hambre,doble cara,dar caracteristica,persona amoroso,,sient gustar,['ser'],['espacio fisico psicologico'],salto,orden,arte,relacionado dinero,ver,luna,gris,maullido,buen mal destino,adrenalinar,,auto,chico,similar fogata,testosteronar,destrucción,superstición,movimiento,impedimento,,atraccion,,transito,grúa,espacio amplio,foco,sentimiento,,guia,interior,maldad,autoridad,rojo,resultado,militar,forma ser,persona liderar reino,,divino,confuso,foto,confianza,lujoso,facilitar trabajo,,['historia'],animal,investigador,,vivir,existir habitante,,corbata,tiempo,problema,,llegar,['tener provisión'],plasticidad,bullicio,repetición,diente,personal,,auxilio,estructura,tranquilidad,gemir,dar hacia gente mayor,insensibilidad,,,acertado,['castlevania'],altanero,,color rojizo,computadora
agregar,gritar,avispa,jaque mate,herramienta,ranguir,visible,arruga,videojuego,figura,,lindo,inteligencia,sonoro,símbolo,flameante,trabajo,panza,célula,['tranquilidad'],cuerpo vida,cabaña,espuelar,soler ser edificio antiguo,dar orden,necesitar poco energía vivir,milodon,rico,bonito,varitar,comerciar,maquín coser,gorro,['textura desagradable comer'],chantilly,indecente,ayuda entender situación acontecimiento,bebé,,placentero sentir,['filosofía'],['ambiente'],escalofrio,forma cilindrico alargado,traspaso sentimiento manera ver,relacionado honor,impredecible,transformación,chascon,agresivo,buen mal destino,emocion,,pistola,arena,relacionado fuego,oxitocina,agua,investigación,perpetuidad,trar,,impecable,,direccion,montacarga,espacio,claridad,ojo,,proteccion,autonomía,maldad,conjunto mandado,gorda,bendición,asesino,manera,persona liderar monarquía,,curiosidad,frio,contrario borroso,padre,vivir rey,levantar cosa pesado,,['cupula'],campo,desechable,,gira,casa,,mesa,oscilacion,insatisfacción,,volver lugar,['prevencion servir tiempo'],colchon,conmocion,consecución,lent,sano,,ayuda,diseño,desplante,limeño,debilidad,apto,,,original,['wallachia'],narcisismo,,venir botellar,material
poner,dolor,veneno,estrategia,labor,maximo,exhalar,dulzurar,caracteristica,cubo,,mujer,oportunidad,miedo,ícono,representativo,experiencia,apellido,planta,['hipster'],poder encontrar cementerio,campo,venir,religión,persona,ciclo vida corto humano,hombre,carne,nacimiento,brillo,alimento,aguja,pirata,['evitar recubre pudra rápido'],dulce,inapropiado,especifico,mascota,,hacer liberar dopamín,['cosa'],['naturaleza'],grito,diferente elemento amortiguador forma,inspiracion artista,utilizar lograr querer,impuesto,cambio,torta,salvaje,muchisimo dinero,descontrol,,peligro,harina,generar calor,lipido,peligro,oculto,físico,atasco,,curiosidad,,publicidad,relacionado palabra levantar,relieve,pensar,gota,,hado,estabilidad,querer beneficiar él acto malo,presidente,alegrio,,peligroso,educación,jefe,,reliquia,blanco,distinguido,amistad,patrimonio,video juego,,['dios mitología griega'],naturaleza,capacidad,,tierra,conjunto pequeño,,silla,trapecio,discusión,,reencuentro persona,['cautela decir'],saltar,perturbacion,seguir despu terremoto,luz,bien mentalmente,,asistencia,dureza,relajo,animo,inseguridad,tropezar,,,confiable,['europa'],soberbiar,,utilizar ensalada,símbolico
añadir,resistencia,dolor,juego,trabajador,impacto,bocar,afp,habilidad,lado,,ropa,exito,perro,herramienta,significar,peluquero,parte ser humano,vida,['musico'],poder encontrar morgue,ropa,bar,religion,cabeza equipo,consumido humano,pasado,papas,beber,color,,abuela,vacación,['frágil'],caramelo,disgusto,regalo,dulce,,subjetivo gusto cada,['sustancia'],['espacio amplio'],reflejo,forma 3d,vision persona,difícil romper,illegal,diar noche,subjetivo,gato,muchisir activo,cambio animo,,muerte,espinilla,poder ser peligroso si controlar,carbohidrato,amenazado,señal,colisión,problema,,investigación,,anuncio,tomar,indio,reconocer,tristesa,,desconocido,relacionado salida etapa infantil,malvado,gente mandar,pómulo grande,,proyectil,crianza,monarquía,,mitico,poco visibilidad,lupa,persona apreciar,construcción,auto,,['lugar atenas'],arrendar,habilidad,,hogar,conjunto persona,,estudio,físico,falta,,volver atra,['expresar facilidad'],fuerza,caos,copia,trabajo,cualidad saludable,,apoyo,cimiento,nerviosismo,tristeza,vergüenza,dejar caer,,,aprobación,['castillo'],presumir,,utilizar cocinar,inalambrico
aumentar,vida util,picazón,lógica,casco,distancia,persona,corresponder etapa final vida,prueba,cara,,formal,aprovechamiento,noche,medir,pai,elegancia,cavidad contener estómago intestino,estudio,['nostalgia'],descomponer,mujer,pelea,oracion,responsabilidad,moluscir,bestia,caldo,ave,diablir,,ropa,barco,['duro'],chocolate,estafa,minucioso,suave,,poder usar persuadir alguien,['corporación'],['persona relacionar'],tiritar,circulo,historia,asociado injusticia,metro,vida,apariencia,leon,gran cantidad objeto preciado,euforia,,cuidado,lunar,asociado color rojo,transformación físico,resguardar él,evidencia,momento,influir alguien,,estudio,,señal,sostener,saván,entender,persona triste,,hado,lograr ultir año colegio universidad,pensar mal,persona poder,parte cara,,,convivencia armonir,rey reina,,espiritual,peligro,ver,relacionado bautismo,dirigido nobleza,conducir,,['monumento'],predio gran tamaño afuera capital,experiencia,,orbitar,vivir comunidad,,aprender,reloj,compañia,,retorno,['conjunto persona serviran ayuda caso alguno perdido'],físico,incertidumbre,imitacion,renumeración,limpio,,colaboración,base,capacidad adaptar él,exhaucion,vergüenza,olvidar,,,implicar correcto funcionamiento,['sangre'],llamar atención,,frio,mediante cable
echar él cosa,durabilidad,escorpión,pensar,herramienta,magnitud,vida,asocia cariño ternura,personalidad,linea,,vestido,intrepido,soledad,,ciudad,higienir,abdomar,animal,['exotico'],hueso,prenda,alcohol,adoración algun dios,conocimiento,lento,temor,choclo,viaje,negro,,medicina,relajo,['protector'],comida,increible,perfección,adorable,,relacionado atractivo físico,['sociedad'],['esfera'],aceleración latido,apariencia caracol,monumento,asociado abuso poder,ley,evolución,disgusto,puma,mucho joya,rojo,,bloqueado,material,contaminar,sexualidad,ojo calma,prueba,estudio,hacer caso,,observación,,información,agarrar,animal,analizar,mejilla,,malo,fundamental entender responsabilidad vida,poder actuar así animal persona,orden dar alguien,sonrojar,,,regla social,jefe nación,,religioso,desconocido,lent,película marlon brar,bonitar estructura historia,grua,,['poder ser considerado templo'],relacionado destino vacacional fin agricultural,utilidad,,elipsoidir,regla establecida convivencia,,distracción,peso,enmendar,,devolver dueño,['espacio natural regular mantencion'],movimiento,inesperado,original,bajo,higienización producto lugar,,protección,estructura,buen reaccion cambio,señal cansancio,apartar mirada,extraviar,,,positivo,['colmillo'],siete pecado capital,,aliño,relacion
poner él cosa,estoico,hinchazón,estrategia,construccion,medida,respiracion,persona mucho edad,defecto,borde,,pantalon,vivaz,pasear,,apoyo cierto causa,estilo,llegar comida,ecosistema,['mujer'],muerte,noche,bebida,conjunto persona,representante grupo,hervíboro,cueva,contundente,larga distancia,morado,,hilo,viaje,['fruta'],placer,antipatico,pequeño,tierno,,relacionado personalidad,['ser'],['contexto'],feo,figura geométrico,importancia,relacionado nepotismo,policia,madurar,visual,leopardo,suerte,pajaro,,espontaneo,diminutir,fuego,impulso,,indicacion,mantener,seguidor,,peligro,,señalético,alzar,flora,actuar libre,cara triste,,divorcio,asociado joven,daña demá,representación grupo,generalmente suave,,,distinto depender lugar,poder autoritario,,amistoso,esconder,borroso,relacionado catolicismo,representar alguno epocar acontecimiento,control mandar,,['poder ser funerario'],cada dueño,ventaja,,tierra,poder bien establecido,,colegio,movimiento constante,ignorar,,volver origen,['ser cuidadoso'],amortiguar,conmoción,consecuente,insuficiente,libre bacteria,,desesperación,físico,altura,liberar aire rapidamente,silencio,perder,,,resultado evaluacioón,['solo salir noche'],arrogancia,,anticuado,asociación
adjuntar,deporte,lanzeto,ganar,guant,meta,oxigeno,físicamente evidenciar arrugar,falta,perspectiva,,chaqueta,habil,coro,,nacion,barba,almacenar comida,anatomia,['femenino'],historia,cómodo,trago,cruz,vestimento diferente,pequeño,oscuridad,frio,alegría,hechacer,,enhebrar,internacional,['pela'],sabor,atrevir,importancia,azucarado,,dar ventaja poseer,['personaje'],['rodear'],negativo,hipnotizante,cemento,expresion,fugitivo,envejecer,evitar contacto,panterar,poder desencadenar codicia,aliento,,inmediato,espinilla,quema,mujer hombre,,mostrar,fisicar,marea,,entender,,mensaje,erguir él,planiciar,mente,pena,,nuevo vida,implicado paso dejar ser joven ser adulto,conseguir querer,poder dentro grupo persona,generalmente blar,,,aprendizaje,antiguedad,,alucinante,humedo,chile,familia escoje,marcar despu,estructura servir levantar cosa,,['terreno enterrar persona'],campo,resolver problema,,lugar poder tener oxigeno,existir persona cierto cargo,,universidad,columpio,disgusto,,viaje pasado,['guardar'],ir volver,reacción,respuesta alguien,pago,control sanitario,,peligro,duro,suelto,alivio,sonrojar él,desorientado,,,regular,['convertir murcielago'],altaneer,,ensalada,representar unión dos mas persona u objeto
incluir,tiempo,punta,competencia,pintura,logro,carbono,asocia tranquilidad,experiencia,cuadrado,,fiesta,osado,lobo,,representatividad,colombiano,estómago,cuerpo humano,['arte'],enfermedad,vestido,comida,distinto mentira,persona mandar,baboso,murcielago,olla,bebé sostenido pico ave,magia,,hilo,conocer,['mayoritariamente incomible'],extasis,desubicar,pormenor,pastel,,hechacer,['persona natural agrupación'],['conjunto'],asocia aterro terrorifico,tallarin,recordar,imponencia,criminal,experiencia,miedo,agil,nunca sero suficiente,fuerza,,duelo,piedra utilizar construcción,arder,descontrol,,ayuda llegar,ley newton,luna,,motivo,,medio,tomar,llano,cerebro,dolor,,ceniciento,adulto,perjudicar alguien,llevar batuta,mayoría ser vivo,,,cambiant,cargo heredar,,atraer,ceguera,genial,alguien comprometer cuidarte,hecho algun material duro,permitir mover cambio automovil,,['relacionado antiguo roma'],terreno,especialidad,,lugar poder tener vida,pequeño ciudad,,madera,cuerdar,sugerencia,,visitar nuevamente alguien,['riqueza'],peso,pajaro,sismo,merecido,ejercitar él sano,,indefención,fuerte,brazalete,exceso aire,callado,querer,,,legal,['tez blanco'],sentir él superior resto,,aceite olivo,lazo
incorporar,permanecer,aguja,tablerir,ropa sucio,altura,fluidez,volver mas lento dificil,conocimiento,figurar,,moda,atrevir,animal,,lealtad,venezolano,chile poder decir guato,profesor,['región europa'],hueso,polera,musico,religion,jefe,miedoso,gruto,pollo,pajaro,supernatural,,aguja,mar,['cubierto'],disfrutar,frontal,minucia,reposterir,,cualidad,['persona natural agrupación'],['ambiente'],producir evasión alejamiento,escalera,conmemoración,medida,atrapar,perspectiva,cultura,visión nocturno,cada vez querer,lealtad,,pistola,mesón cocina,caliente,artificial,,rastro,continuidad,,,pensar,,guia,sentir peso,llanado,droga,depresión,,desear,responsabilidad,idear maldad,seguidor,ayuda expresar sentimiento,,,regla social,persona tender ser respetado,,divino,mañana,claro,relacionado sacramento,estabilidad,broma amigo,,['arquitectura clásico'],sitio mucho hectarea,conocedor,,parte solido,cumplir rol dentro sociedad,,rayar,tiempo,libro,,volver,['emergencia'],bicicleta,volar,consecuencia,sueldo,limpio,,ahogar él,hierro,caderar,gran exhalación,dificultad expresar él,romper,,,factible,['ver formal'],excentricismo,,salado,amarrir
,seguir,puntiagudir,figura,alegr,atrapar,gas,poder conocer abuelo,persona destacar,rodear objeto,,diseño,temerario,manado,,pai,hombre,poder ser apellido,vida,['persona vivir arte'],estructura ocear,ropa,star wars,dios,liderar grupo persona,fragil,peligro,carne,blanco,ritual,,maquín coser,marear,['naranjar'],gozar,locura,parte,decir niño,,sensualidad,['alma'],['englobar alrededor'],generar gran cantidad miedo,serpentín,idolo,cualidad,metro,punto visto,pai,cazar,riqueza,descontrol,,accionador,color blanco gris oscuro,quema bruja,inyección,,huella,ley,,,impulso,,reglamento,despegar superficie,horizonte,embriaguez,llorar,,trabajo,prudencia,malo intencion,orden,rojo,,,aprender él niño,subdito poder,,cercano dios,londer,buen visión,alguien patrocín,funcionar fortaleza,barra palo metal permitir mover cosa,,['relacionado emperador'],arbol,habilidad,,objeto astronomico,poder aislado sociedad,,balancear,ir venir,servicio,,reiniciar,['agua'],espiral,escandalo,reemplazo,sueldo,coronavirus,,emergencia,masa,bailar,cansancio,,caer él,,,aprobado,['diente largo'],moda,,venir,conexión
,rendir él,filozo,rey,fuerte,distancia,,asocia experiencia vida,capacidad,geometrio,,indumentario,inteligente,,,ciudad,moda,parte cuerpo,celula,['conjunto artista'],poder ser cualquiera ser vivir,,bar,jesus,preocupar demá equipo,verde,frio,papas,decir niño traer bebé,maldición,,anciana,lujo,['fruta'],amor,filtro,pedazo,fragil,,sentimiento,['fantasma'],['poseer cierto característica lugar'],aparecer pelicula genero terror,line circular,importancia,construcción social,ataque,característica,persona,depredador,suerte,ira,,inicio proceso,material utilizado acabado fino,llamarada,feromona,,pista,ley natural,,,incertidumbre,,instrucción,despertar él,plano,apto,tristeza,,madre,consciente entorno,tener mal obrar,instruccion,colorado,,,rol familia,rey,,fantasia,frio,ojo,vínculo vida,fortuna,multiplicador efecto deseado,,['sombrío'],riacoler,sabiduer,,orbitar alrededor estrella,gente,,escritorio,oscilante,disconformidad,,resetear,['ahorro'],metal,advertir,similar,ingreso,doctor,,riesgo vital,dureza,pareja,respirar,,inutilidad,,,afirmar base,['sangre'],joya,,añejo,voluntario conveniencia
,rendimiento,abejo,reina,constructor,lejos llegar,,llegarer eventualmente ser él,limitante,cubo,,ropa,vivir,,,religion,hipster,abdomar,colegio,"['persona vivir relajado', 'libre']",muerte,,cerveza,sacerdote,solo,comida gourmet francia,,oregano,ave,costo,,mujer,tranquilidad,['compost'],rico,desmesura,especifico,delicado,,gusto,['presencia'],"['existir social', 'económico']",desagradable,loop infinto,alabanza,balancín,micro,cara,horrible,escalar,loterio,caos,,actuador,escultura monumento,fogata,tiroid,,indicación,movimiento,,,curiosidad,,informacion,agarrar,paisaje,concentracion,sentimiento,,hado,fin niñez,malo pensamiento,imperativo,hinchazón,,,,riqueza,,creencia,nube,lent,persona acompañar confirmación,riqueza,apoyo,,['tristesa'],cosecha,conocimiento,,emitir luz propio,casa,,puesto,tarot,negatividad,,vuelta,['especial'],rebote,gala,copia,pago trabajo,hospital,,susto,liquidez,reggaeton,relajo,,estupidez,,,real,['cara palido'],orgullo,,conservar,unión
,,insecto,,madera,agarrar mano,,asocia termino femenino,característico,triangulo,,calzado,perspicaz,,,culto,persona cortar barba,poder tener pelo,cientifico,"['persona vivir relajado', 'libre']",cirugia,,pisco,confesionario,persona respetable,herido sal,,longanizar,gran tamaño,brujo,,indigenar,barco,['cebolla'],sabor,pelotudez,pequeño,agradable,,satisfaccion,['etéreir'],"['existir social', 'económico']",causa rechazo,hipnotizante,historia,sumision,esquivar,,asco,gato,amor,ceguera,,distintivo,escultura monumento,quema bruja,cerebro,,ayuda,detencion,,,incertidumbre,,madera,tomar,vaquero llevar vaca,pureza,ser vivo hacer,,padrino,seriedad,beneficiar él dejandolo mal,castigo,niño sano,,,,reino,,inexistible,gris,binocular,ahijado,rey,accionador,,['deprimente'],caballo,,,tierra,hacienda,,colegio,angulo,,,viaje,['cuidar'],mecanico,familia,plagio,haber,alcohol gel,,miedo,golpe,hablar,exhalar,,incapacidad,,,sustentar,['brazo abierto'],material,,vinagretar,necesidad
,,volador,,casa,estirar brazo,,cariñoso,calidad,piramidir,,impresion ,temerario,,,etnia,peluquero,mucho vez redondo,investigador,['movimiento cultural'],morgue,,pirata,eucaristiar,lider,lento,,pavo,historia infantil,hechacer,,ropa,vacación,['proteccion'],dulce,obsceno,importante,relajante,,alegrio,['ente'],['lugar espacio'],asustar,circulo,arte,amarillo,defender él,,repudio,tigre,abundancia,temporal,,primero paso,arena,pirar,desarrollo,,memoria,,,,misterio,,direccion,accion,desierto norte,tranquilidad,lamento,,nacimiento,edad suficiente,importar mismo nadie mas,acatar,brillante,,,,reina,,increible,lluvia,pantalla,segundo padre,reina,botón,,['muerte'],lugar agrado,,,vida,animal,,barato,,,,camino,['mantener'],compresion,robo,identico cosa,dinero,saludable,,desesperación,choque,cómodo,enamorado,,bruto,,,cualidad valido,['capa negro'],afán,,traverso,union
,,dolor,,serrucho,capacidad,,amoroso,persona,cuadrado,,visto,miedo,,,identidad,cambiar look,encontrar estómago detrás,biologo marino,['estilo vida'],cementerio,,alcohol,bautizo,audaz,turbo,,champiñon,mito,mago,,lana,navegar,['organico'],azucar,duro,nimiedad,azúcar,,comodidad,['ambiguo'],['lugar espacio'],miedo,resorte,conmemorativo,importante ambito social,impuesto,,obeso,lince,afluencia,arrepentimiento,,line salida,trigo,calor,ciencia,,documentación,,,,ansiedad,,lectura,mover objeto,poder ver horizonte,,pena,,bautizo,cambio etapa,maldad,mandamiento,rostro,,,,fortuna,,brujeer,oscuridad,gráfico,cariño,nobleza,interruptor,,['frio'],campo,,,esfera,agricultura,,pequeño,,,,retorno,['proteger'],salto,caos,relacionado objeto,retribución monetario,pulcrir,,sos,rocar,persona,cansancio,,incapaz,,,documento autorizado,['ojo tetrico'],necesidad admiración,,acir,relacion material
,,veneno,,ladrillo,campo visión,,oler galleta,capacidad,geometrio,,expresion,extremo,,,especificidad,trabajador,hincha agranda,materia,['persona vivir vida locar'],cremación,,alemania,confirmacion,temerario,sal,,gas,volar,bruja,,artesanal,viaje familia,['pelar'],berlín,desvergonzado,especifico,cariño,,morado,['definido'],['rodear'],agradable,circunferenciar,representativo,popularidad,corrupcion,,bruja,acechador,casualidad,culpa,,,mineral,reunion persona,biologia,,oportunidad,,,,pensamiento,,imagen,jugar objeto,terreno extenso,,angustiar,,familiar,responsabilidad,crimen,prescripción,parte cara,,,,palacio,,espiritual,poco visibilidad,alto definición,compadre,antiguo,servir prender apagar cosa,,['dolor'],zona cultivo,,,orbitar,artesanio,,incomodo,,,,reverso,['futuro'],,acción,copia,remuneración,ordenado,,sangrado,montaña,directo,desinter,,,,,correcto,['bocar abierto'],narcisismo,,competencia limon,lazo dos parte
,,,,trabajo,cercano,,cocina rico,habilidad,vertizar,,localidad,luchador,,,ondular,ayuda sentir tú seguro,grande,estudio,['aventurero'],ánfora,,bierfest,matrimonio,inteligente,conchaber,,calor,traslado guagua,carta magic,,tejido,caribir,['desechar'],sabroso,atrevir,prestar atención,bienestar,,magia,['general'],['paisaje'],miedo,marea,histórico,posición persona ocupar,pokemon,,rostro,pradera,azar,adrenalinar,,,geoda,fuego,cuerpo humano,,exploración,,,,sugestión,,camino,levantar objeto,superficie plano,,frustación,,apoyo,termino adolescencia,premeditación,decreto,,,,,inglaterra,,religioso,invierno,fidelidad,pelicular mario puzzo,pelicula,casi todo tecnología,,['mito'],fundo pequeño,,,sistema solar,vejez,,funcional,,,,retroceso,['privado'],,chisme,temblor,mesado,salubre,,peligro,,ofender,aburrido,,,,,afirmativo,['murciélago'],arrogancia,,secreto casero,anexo
,,,,martillo,límite,,amable,talento,recta,,cultura,capaz,,,grupo,persona trabajar peluquerir barbería,,experimento,['liberal'],diar muerto,,lugar social,funeral,carismatico,caparazon,,,recién nacido,fantasia,,ropa,hotel flotante,['cortar'],delicioso,mentira,regalo,,,asociado magia,['organización'],['lugar encontrar alguien'],susto,line curir,obra arte,poder ser relacionado sociedad empresa,ladron,,sucio,manado,bien,tiburon,,,dureza,lugar compartir,,,atento,,,,,,carretera,adquirir,superficie lisa,,depresión,,,capacidad tomar decisión,castigo,edicto,,,,,holanda,,celestial,frio,detalle,mafia italiano,belleza,cortacorriente,,['historia'],relajo,,,atmosferar,humildad,,espacio,,,,regresión,['guardado'],,farandular,clonacion,trabajo,jabon,,ayuda,,filtro,alivio,,,,,argumento,['conde drácular'],engreido,,gargantar,conexion
,,,,edificio,ranguir,,sexo femenino,efectividad,línea,,religion,virtuoso,,,movimiento,afeitar,,laboratorio,['artístico'],final,,comunidad,religión,sabio,babós,,,embarazo,magia,,arreglar ropa,luna miel,['superficie protector cosa huevir'],mermelada,atrevimiento,característico,,,poder ser cualidad atractivo persona,['ser'],['referencia'],pulso acelerado,vuelta,escultura,poder ser relacionado sociedad empresa,robar,,desprovisto,colmillo,inmuebl,cadena accion,,,rocar,entrega calor,,,,,,,,,flecha,coger,espacio libre,,ojo,,,adultez,perverso,promulgar,,,,,princesa,,,otoño,vision,relación persona,india,tecnologíco,,['mausoleo'],vacación,,,superficie,union,,educacion,,,,volver casa,['preventivo'],,terrorismo,igual original,invercion,limpieza,,señal auxilio,,concenso,enojo,,,,,autentico,['fantasia'],relacionado vacio,,blanco negro,relacion amigo
,,,,construcción,limitación,,mayor 65 año,inercia,punto visto,,,robin hood,,,nación,cortar pelo,,ciencia,['desordenado'],desechar,,gular,rezar,autoestima,planta,,,niño,niñez,,costurero,barco,['rigido resistente'],exquisitez,falta respetar,atributo rebuscado,,,poder ser cualidad objeto,['cosa'],['conjunto objeto formar'],mantener compostura,punto linea,símbolo,situación alguien,esquivar,,viejo,leon,gran cantidad dinero suerte,rapir,,,geología,cocinar cosa,,,,,,,,,texto,,naturaleza,,agua,,,pensar dos vez,maquiavelico,orden,,,,,nobleza,,,,claridad,protección persona,buckingham,solo electricidad,,['lugar muerto'],parte,,,universo,ciudad,,duro,,,,volver familia,['recurso'],,ataque,igualdad,hora,salubre,,solicitud ayuda,,correa,ahogo,,,,,real,['hallowear'],asociado caracteristico persona,,venir,relacion familia
,,,,herramienta,,,salud mas delicadar,natural,marco,,,astuto,,,izar,arregla ceja,,celular,['locura'],descomposición,,,confesar él,preocupacion,hoja,,,familia,señor anillo,,aguja,bote grande,['solo objeto animal'],gusto extraordinario,desconsideración,perfeccionismo,,,asocia sentir agrado,['base dato'],['ser vivo'],dominar sensación,camino,inmortalizar,poder tener carácter económico,evitar,,roto,,gran cantidad dinero suerte,instinto,,,gris oscuro,calentar campamento,,,,,,,,,,,planiciar,,líquido,,,crecer,cruel,consignar,,,,,rey,,,,brillo,cariño respaldo,gran edificiación,herramienta,,['entierro'],terreno,,,nucleo,condar,,,,,,volver lugar,['suministro guardado'],,marcha,respuesta,turno,salud,,asociado peligro,,libre,relajo despu problema,,,,,dicho prueba,['oscuridad'],caracter negativo alguien,,ensalado,pareja
,,,,suciedad,,,limitacion motoro,innato,componente,,,atrevir,,,representativo,arregla barba bigote,,profesional,,muerto,,,cruz,determinacion,pajaro,,,,maldicion,,hilo,transatlantico,['poder tener color forma'],postre,cinismo,completitud,,,hechacer,['distinto significado'],['alrededor'],susto,enredar,personaje histórico,necesariamente mejor mayor cantidad,penalizacion,,contrario hermoso,,dinero,limitar,,,material,quemar malvavisco,,,,,,,,,,,tierra,,molestia,,,aprender,malo fe,actividad,,,,,autoridad,,,,forma,cariño respaldo,habitar reyes,gran descubrimiento,,['tumba'],campo,,,astronomia,lugar vivir persona,,,,,,alegría,['cupo exclusivo pedir'],,auge,temblor,esfuerzo,importante hospital,,auxilio,,pensar,susto pasado,,,,,demostrar verdad,['beber sangre'],admiracion,,sal,amor
,,,,práctico,,,necesitar 3ros,inconsciente,perímetro,,,osado,,,colectivo,ayuda pelo cabeza,,animal,,difuntir,,,construcción antiguo,union,francés,,,,truco,,remendar,titanic,['pretender contener proteger'],torta,cara poker,observación agudo,,,mundo maravilloso,,['circunstancia'],miedo,,libertador,nivel,transporte,,horrible,,comodidad,imparable,,,edad,tronco,,,,,,,,,,,relieve,,pena,,,experiencia,resentimiento,quehacer,,,,,abuso poder,,,,imagen,titulo cristiano generar vinculo niño,monumento,ciencia,,['sepultura'],cuidado,,,mundo,aglomeración vivienda,,,,,,abrazo,['espacio natural protegido'],,descontrolado,causa efecto,gracia,salubridad,,ayuda,,instintivo,sobrepasado,,,,,efectivo,['colmillo'],orgullo,,liquido provenir venir,matrimonio
,,,,fundamental,,,compañia,dificultad,facción,,,decisión,,,símbolo,,,vegetal,,asesinar,,,lugar sagrado,liderazgo,asocia lentitud,,,,hechacer,,maquín cocer,metal,['proteger interior'],reposterio,inmunidad,sutil,,,fantastico,,['afecto'],tenebroso,,hecho alguno metal,posicion frente,escolar,,persona agraciado,,herencia,animal,,,diminutivo grano,alto temperatura,,,,,,,,,,,vegetación,,llanto,,,enseñanza,venganza,tarea,,,,,monarquía,,,,,mafia,permitir congregación mucho persona,idea,,['cementerio'],trabajo suelo,,,astro,espacio pueblo sedentario,,,,,,lagrima,['cosecha vino'],,ascenso,causa efecto,,limpieza,,sos,,,estresado,,,,,confirmacion,['sol mata'],engreido,,servir cocinar,coincidir
,,,,obrero,,,mantener él activo,valoración positivo,interés,,,audaz,,,mover viento,,,,,suicidio,,,cruz,ranguir,especie conchaber aspecto flácido,,,,magia,,huinchaber medir,paraiso,['poder ser alimento'],alimento sabroso,infidelidad,diferenciar,,,agrado demasiado,,['desarrollo'],escalofriante,,rígido,poder otorgado,bus,,desaliñado,,tranquilidad,,,,asocia pequeño,gran cantidad humo,,,,,,,,,,,apto cultivo,,basura ojo,,,reflexionar,malo intención,misión,,,,,forma antiguo gobierno,,,,,bautizmo,mansión lujoso grande salón,ayuda mover objeto,,['funebre'],terreno verdoso,,,cuerpo celestar,seguridad,,,,,,amor,"['privacidad', 'ser reservado']",,situacion deseado,movimiento,,pureza,,rescate,,,,,,,,comprobar,['eterno juventud'],creencia meritir,,permitir mantener preservar alimento,acuerdo
,,,,estafa,,,atraer cariño,,camino,,,atento,,,hecho telar,,,,,sangre,,,vitral,militar,especie conchaber aspecto flácido,,,,poción pócima,,hilo,tropical,['funcion especificar'],agradable,malo accion,,,,magia,,['marco'],scream,,inspirar demá,sensacion,,,dificil ver,,bien material,,,,similar forma grano menor tamaño,,,,,,,,,,,,pasto,,conmover él,,,desarrolar él,cualidad negativo,encomiendo,,,,,democracia,,,,,tío,gran estructura mucho seguridad,extensión cuerpo,,['tétrico'],grande terreno,,,esfera,compañía persona,,,,,,retornar,['tropa inactivo ejercito'],,,derecho,,buena condición,,accidente,,,,,,,,,['leyenda'],presuncioso,,agrio,cariño
,,,,maestro,,,preocupacion,,lado,,,raro,,,,,,,,tristeza,,,puerta grande,barco,dos antena,,,,maldición,,aguja,blanco,['duro grueso'],dulce,inter,,,,buen persona,,['ambiente'],provocar grito,,inmóvil,nivel social,,,acción cosa socialmente reprochable,,trabajo,,,,arena,,,,,,,,,,,,fértil,,alegría,,,formar vida,picardio,período representación,,,,,rey,,,,,responsabilidad,extravagancia,efecto,,['roma'],division suelo,,,poder ser habitable,vecindad,,,,,,vuelta,,,,hablar,,tener mente claro,,pedir ayuda,,,,,,,,,"['película', 'libro', 'videjuego']",orgullo,,acir,dos persona
