acuerdo,agradecimiento,amenaza,ansiedad,compasión,culpa,decisión,definición,desesperación,destreza,esperanza,excusa,felicidad,ganancia,habilidad,honestidad,obligación,obsesión,oportunidad,peligro,pensamiento,plan,razón,seguridad,sugerencia,verdad,éxito
['establecer regla'],['sacar problema'],['corro peligro bajo uno …'],['enfermedad psicologico'],['empatiar'],['incomodidad'],['analizar resultado'],['proponer caracteristica'],tener paciencia,['genio'],['propio persona positiva'],['respuesta'],['risa'],['beneficiar obtener'],destacar él area,['real'],['tarea'],['encerrar él'],['fortuna'],si incendio encuentra,['mucho vez hacer solo actua'],['situación estructurado futuro'],['permitir críticar'],['despreocupación'],['tratar ayudar alguien'],['certeza'],['realización sueño']
['tratado'],['importante decir él'],['poder dañarte'],['picotear comida'],['sentimiento'],['poder generar ansiedad'],['seguridad'],['descripción'],saber hacer,['facilidad'],['tener fé'],['minimización situación'],['alegría perdura'],['poder ser material material'],ser competente,['veracidad'],['ir secar ropa'],['dejar ver todo opción pro solo'],['ventana abierto'],vez tem vida,['opinión'],['relacionar organización'],['permitir crear argumento'],"['madre', 'provocar sentimiento']",['querer resolver algun problema'],['irrefutable'],['conseguir él necesario trabajo duro']
['memoria'],['valor decir él'],['peligro'],['normalmente mujer'],['pasar mucho vez rabio sentimiento'],['tender sentir luego producir algun daño'],['asocia pensamiento'],['explicar hacer'],encontrar él situación malo perder control,['habilidad realización'],['positivo'],['generar ponderación negativo recibir'],['ánimo positivo'],['recompenso'],poder relacionar él hobbi,['decir verdad'],['tener buen rendimiento'],['concepto percibido negativo'],['chance'],si encuentra animal feroz,['mente'],['estructura'],['capacidad ser humano'],['resguardo'],['indicar mejor solución'],['existente'],['fruto esfuerzo']
['decision dos mas persona'],['sient alguien hacer bueno'],['león feroz cebrar'],['impulso llevar hacer'],['gente mucho vez gente pobre'],['forma remediar él arreglar motivo causante'],['requerir minimo inter'],['servir saber desconocido'],comenzar hacer cosa lógico lograr,['capacidad mayor promedio gente alguno disciplina'],['pensar cosa ir bien'],['evitación'],['opuesto tristeza amargura'],['poder simular premio'],aptitud acción actividad determinado,['ser mentiroso'],['compromiso deber cumplir él'],['similar vicio'],['opción conseguir'],alejar normalmente,['persona'],['poder armar solo persona'],['parte especie'],['propósito institución policial'],['deber hacer manera sutil'],['cosa decir padre'],['cumplimiento objetivo']
['llegar concenso'],['dar gracias'],['hombre naturaleza'],['desear incontrolable frente acontecimiento evento'],['mayorio persona alguno vez'],['angustiar'],['capacidad elegir'],['decir rair'],actitud tomar frente situación estresant,['mayor desrrollo caracteristico positivo hacer destacar dema'],['rendir él'],['evadir hecho medio poder ser verdad'],['propio persona positiva'],['beneficio'],destreza,['sinceridad'],['regla deber acatar'],['persona volver adicto'],['propuesta'],malo,['existir buen malo'],['estudio deber elaborar organizar él'],"['poder ser logico', 'critico']",['familia entrega hijo'],['constructivo'],['cosa decir profesor'],['esfuerzo camino']
['tener capacidad determinar idea'],['feliz recibir'],['poder perjudicarte'],['desesperación'],['acogimiento'],['sensación tras cometer error'],['poder tener grado dificultad'],['dar conocer'],encerrado lugar pequeño pón así,['habilidad'],['confiar'],['manera explicar'],['permitir disfrutar mejor cosa vida'],['recompenza'],poder tener él distinto campo área,['ser recto persona'],['poder evadir'],['vez poder jugar'],['alternativa'],tener cuidado,['diferente resto'],['trabajo utilizar aumentar producción'],['permitir comunicación'],['dar creer hacer bien'],['poder señalar error'],['real'],['luchar conseguir él']
['llevar cabo idea tomo anteriormente'],['ser respetuoso'],['producir miedo'],['producir efecto movimiento físico involuntario'],['tristeza'],['gana corrergir accion'],['depender variable'],['dar término palabra'],pid ayuda alguien nunca pensar acudiría,['leonel messi'],['probablidad'],['forma justificar él'],['amor'],['recibir despu lograr'],capacidad,['virtud'],['alguien hacer incluso si voluntad'],['bueno'],['negocio triunfar'],advertencia,['dá día día'],['acción futuro interiorizado'],['motivo'],['agresivo'],['opinion'],['verosimil'],['mision cumplido']
['totalmente lado'],['dá persona hacer bueno'],['mucho vez inminente'],['novio boda presentar'],['tener lastimo alguien'],['generalmente asocia arquero'],['involucra accion'],['aquel buscar saber significar'],hacer cosa nunca pensar haría situación normal,['rapidez'],['estadístico'],['utilizar normalmente frente error'],['realizacion personal'],['poder ser extrinseco intrinseco'],herramienta distender él entorno,['cualidad destacable persona'],['hacer importar'],['trastorno'],['chance presentar'],poder ocurrir situación futuro,['creencia'],['organización'],['desencadenar suceda'],['constructivo general'],['idea'],['poder tomar reflexion religioso'],['prosperar']
['favor'],['satisfecho'],['preparar situacion peligro'],"['poder generar acné', 'tensión muscular', 'tics nervioso']",['sentir pena alguno accion suceso'],['intranquilidad frente decision tomado'],['traer consecuencia'],['datar caracteristica concepto'],forma estrés,['fisico'],['analisis numerico'],['usar querer asumir responsabilidad'],['unobjetivo vida'],['realizar'],facilitar realización acción,['actuar correctamente'],['deber'],['repeticion conducta'],['intento'],desastrar,['reflexion'],['meta camino definido'],['ser humano caracterizar poseer capacidad'],['peticion'],['comentario'],['ciencia siempre decir'],['triunfar']
['convenio'],"['pedir cambio', 'dar solo']",['potencial agente daño'],['soler ocurrir previo hecho importante'],['ser empatico'],['querer revertir situacion'],['esfuerzo'],['explicar'],sufrir persona cosa resultar,['pensamiento rapir'],['año vida'],['facil realizar'],['gran mision'],['efecto esfuerzo'],ventaja competitivo comparativo,['ser transparente'],['tarea'],['poder vivir alguno cosa'],['poder ser laboral'],prevenir,['inteligencia'],['usar organizar'],['desarrollar pensamiento'],['servir ver punto visto distinto'],['reflexion'],['admitir'],['lograr objetivo']
['pacto'],['reconocimiento'],['potncial peligro'],['codicia'],['perdonar pena'],['sensación realizar accion'],['realizar persona grupo persona'],['ayuda persona entender cosa'],alterar persona,['habilidad correr'],['calidad vida'],['querer hacer busca uno …'],['desear'],['consecuencia venta'],aplicar diferente area desarrollo naturaleza,['ocultar cosa deber decir'],['imponer persona'],['idolatrar'],['ocasión hacer'],auxilio,['juicio'],['paso'],['logico'],['general dar'],['dar amigo'],['real incuestionable'],['conseguir meta']
['estrategia'],['dios bendiga'],['mal acechante'],['desear'],['ayudar'],['autogol'],['elegir'],['preponderante estudio alumno'],sentir poder respirar,['don'],['confianza'],['pretexto'],['constante'],['poder ser monetario'],evolutivo permitir especie perdurar,['mentir'],['tarea hacer si si'],['depender'],['opción'],pasar,['idea'],['estrategia'],['correcto'],['creer decir correcto'],['dar conversacion apropiado'],['sinceridad'],['llegar cima']
['mercado'],['satisfaccion'],['buscar persuadir'],['querer'],['poner él lugar alguien pasar peor'],['pensamiento autocritico'],['cosa'],['gracias poder tener orden mental cosa'],angustiar frente,['aptitud'],['seguridad'],['servir librar él'],['requerir esfuerzo'],['beneficio'],humano nacen facilidad remarcable,['decir verdad'],['generalmente consecuencia si hacer'],['interés exagerar incontrolable'],['parte analisis foda'],suceder,['concepto'],['modus operandi'],['moral'],['guardia'],['sujeto gusto cada persona'],['objetivo'],['obtener beneficio']
['tratado'],['premio'],"['poder ser real', 'creible efectivo']",['necesidad'],['empatiar'],['sentimiento'],['camino u'],['proporcionar sabidurio'],incapacidad tranquilo,['genio'],['certidumbrir'],['motivo'],['depender mismo'],['ingreso disponible menos costo total'],humano desarrollar conforme requerir,['valor adquirir decir verdad'],['deber'],['exceso'],['ocasión ganar'],alerta,['plan'],['forma actuar pensado'],['manera logica pensar cada persona'],['preservativo'],['siempre beneficiar dar opinion'],['honestidad'],['buen resultado']
['transacción'],['complacer él'],"['forma mas distendido', 'conocido aceptado ley']",['impulsividad'],['misericordia'],['generado tras análisis acción pasado'],['manifestar preferenico'],['explicación alguno concepto'],producir estrés constantemente,['habilidad'],['ilusión'],['usar habitualmente tener culpa'],['emocional'],['beneficio recibir despu haber saldar cuenta'],tener agilidad,['anteponer verdad mentira'],['tarea'],['ser cargante'],['posibidad'],bomba,['esperame'],['organización'],['correcto'],['tener dispositivo electronico contraseño'],['respuesta comparacion'],['persona usar mas positiva'],['asociado felicidad']
['decision final'],['gracias favor'],['peligro'],['afán'],['lugar guerra'],['remordimiento'],['tomar postura'],['diccionario poseer mucho … … ……'],perder calma,['jugar futbol necesitar'],['pensar poder ocurrir'],['poder ser mentira verdad'],['gratificante'],['similar utilidad ver punto visto mas social'],ser útil determinado,['correcto'],['realizar tarea'],['cuadrado'],['posibilidad ser humano poder tomar'],terrorismo,['dejamar tiempo'],['efectuan partido'],['llevar hacer decisión hacer'],['guadaespalda'],['opcion'],['soler evitar problema'],['persona buscar']
['dos mas persona'],['retribucion'],['panico'],['anhelo'],['mostrar debilidad'],['acusación recae individuo'],['privilegiar demá opción'],['significar palabra'],inquieto,['motricidad fino'],['pensar acto buen alguien malo poder darte'],['ser creible'],['alegrio'],"['obtener recibir beneficio', 'esforzar él']",fortaleza,['tipo valor'],['sacar carrera'],['sesgarce alternativa'],['opción tomar dar vida individuo'],seguridad,"['logico', 'deductivo', 'etc']",['idear forma lograr'],['tener'],['anticonceptivo'],['poder ser ignorado'],['tanto fuerte meter problema'],['cúspide laboral']
['trato'],['sient despu recibir'],['alerta'],['angustiar'],['gente religion deberio mostrar él'],['altamenir ligado acusación'],['pensar aproximar consecuencia'],['vía buscar significar'],ansioso,['movimiento cordinado'],['positivo ocurrir'],['servir justificar'],['sensación placentera'],['utilidad'],destreza,['primero valor padre enseñar hijo'],['ser respetuoso padre'],['problema'],['existir mucho vida'],vida persona,['critico'],['necesario querer alcanzar objetivo'],['pensamiento'],['barrio marginal'],['poder ser aceptado'],['conducta considerado honrado'],['triunfar']
['desición'],['gratitud'],['miedo hacia especifico'],['inquietud'],['culpa'],['ligado castigo'],['varios opción'],['diccionario'],susto,['habilidad combate'],['pensar superar momento duro'],['certidicado'],['sonrisa'],['dar beneficio mayor costo'],capacidad hacer,['confiabilidad'],['ser responsable'],['reiterar alternativa'],['nuevo experiencia'],inseguridad,['permitir comunicación'],['especifico distinto tarea'],['relacionado proporción'],"['presidente ee', 'uu nadie']",['ayuda'],['seguridad hecho'],['tener dinero']
['todo parte involucrado conforme resultado'],['sient alguien hacer favor'],['poder perjudicar'],['angustiar interno'],['sistema'],['ir acompañado castigo fisico psicologico inferido entorno mismo'],['respuesta'],['enciclopedia'],efecto miedo,['aumentar probabilidad golpe crítico'],['pensamiento feliz siempre entregar …'],['responder preguntar'],['dicho'],['utilidad'],destreza,['alguien decir verdad'],['cumplir ley resultar'],['concretar objetivo'],['permitir desarrollo nuevo habilidad'],ataque,['creer opinion'],['poder compartir él situación mismo contexto'],['permitir elegir'],['protegido'],['idea'],['estamento'],['ser reconocer']
['conforme'],['respuesta cumplido recibido'],['malo'],['desesperacion frente situacion'],['misericordia alguien'],['sentir presión cometer'],['concluyente'],['entrega información clave concepto'],impaciente,['aumentar probabilidad esquivar golpe'],['dar fuerza seguir adelante'],['poseer informacion importante'],['emoción'],['poder ser material'],capacidad,['sinceridad'],['deber'],['ver allá'],['situación ventajozar poder sacar provecho'],bomba,['idea'],['futuro'],['saber'],['hablar mucho vez hablar guardia'],['consejo'],['verídico'],['tener suerte']
['consensir'],['después recibir regalo'],['entrega persona'],['ataquedar'],['poder sentir alguien'],['arrepentimiento'],"['siempre definir', 'conceptualmente']","['desconce', 'buscar']",contrario pasivo,['agilidad'],['manera seguir luchar'],['subterfugio'],['bienestar'],['asociado dinero'],potencial,['caracterizar persona buena'],['responsabilidad'],['idolatracion excesivo'],['implicar mejora bienestar caso ejecutar él'],choque,['representación mental'],['meta'],['conciencia'],['segundo nivel pirámidir maslow'],['inter tema'],['afirmación'],['ser inteligente']
['beneficiar ambos parte'],['manera sociabilizar'],['poder ser verbal físico'],['falta respiracion'],['poder sentir alguno enemigo'],['presión cometer'],['determinar situación'],['significar'],lugar,['capacidad fisicar'],['tener fe ir suceder'],['deber dar gente cumplir'],['mejor salud'],['contrario pérdida'],unicar cada persona,['contrario ser mentiroso'],['compromiso deber realizar'],['conducta riesgo'],['brecha actual posiblidad mejor'],velocidad excesivo,['imaginacion'],['busca cumplir'],['mente'],['confianza'],['forma participar tomar decisión'],['poder ser cuestionado'],['ser pudiente']
['requerir compromiso ambos parte'],['forma retroalimentar acto alguien hacer'],['poder terninar violencia'],['saber ir suceder'],['perdonar vida alguien'],['luego malo accion'],"['si hacer mala elección sto', 'poder sufrir consecuencia']",['razon'],perder control,['habilidad actividad'],['tener fe problema ir solucionar'],['patraña'],['animo'],['beneficio'],especial,['hacer gente creer decir'],['existir escrita palabra'],['persona sufrir poder llegar situación extremo'],['presentar largo vida individuo'],amenazar,['poder ser positivo negativo'],['esquema organizado lograr objetivo'],['humano pose'],['control'],"['si aceptado', 'transforma decision']",['servir mantener relación social estable'],['ser educar']
['alianza'],['realizar persona despu alguien hacer'],['acción atento bienestar'],['sentimiento frente adversidad'],['perdón'],['sentimiento'],['buena elección hacer sentir yo pleno'],['funcion explicar concepto'],pensamiento malo,['conocido tener fuerza agilidad'],['fe'],['común persona irresponsable'],['poder ser respuesta querer esperar'],['recompenso dinero haber hecho alguno acción'],sobresaliente,['sinceridad'],['sujeto cambio'],['poder influir poco autoestima'],['poder tomar desechar'],exposicion,['ahora'],['realizar ejecutar trabajo acción'],['uso lógica'],['chile'],['poder correcto'],['omitir caso'],['ser justo']
['colaborar alguien'],['cortesía'],['situación peligroso tratar hacer'],['existir medicamento reducir él'],['poder dar sentir pena alguien'],['remordimiento'],['deber ser tomar base verdadero sentimiento'],['detallar'],sentir persona lidiar fobiar,['habilidad alguno actividad'],['buena expectativa'],['agravo falta'],['alegría'],['esfuerzo traer recompenso'],accion,['evidencia'],['imperioso complir él'],['confundir recurrentemente enamoramiento'],['aprovechar él generar remordimiento futuro'],accidente,['idea'],['realacer previmente organizar prioridad ejecutar lograr buen desempeño objetivo'],['entendimiento'],['empresa'],['opinión'],['poder ser alterado conveniencia'],['ser innovador']
['entendimiento'],['dar beneficiar acto voluntario alguien mas'],"['conjunto situación intentar realizar perjudicar', 'alguien']",['medicina convencional decir tratar él'],['ser empatico alguien'],['conciencia'],['diyuntivo'],['usado frecuencia prueba academica'],sentiría si sumergido agua poder salir,['poder ser deportivo'],['convence si mismo bueno ir suceder'],['poder ser mentira'],['sentir él bien'],['poder ser valor material inmaterial'],distinto,['pureza'],['deber'],['llevar conducta asociado psicopatiar'],['generar incerteza dar invitar individuo salir zona confort'],malo nota,['imaginación'],['sucesivo acción'],['motor cambio'],['estar concierto'],['crítica constructivo'],['contrario mentira'],['resultado realización aspiración']
['objetivo comun'],['acto padre enseñar dar hijo pequeño'],['alerta situacion estresante'],['visita psicologo'],['sentimiento culpa'],['sient mal'],['analisis'],['cada libro poseer glosario'],sentiría si dejar respirar,['poder ser académico'],['ojala'],['razón'],['concepto pleno'],['recompenso'],innovador,['expresar verdad'],['trabajo poder fallar'],"['poder dejar pensar', 'querer']",['presentar situacion beneficioso'],si medio incendio,"['razonamiento', 'conciencia']",['persona poseer organizar vida'],['ver incrementado conforme adquirir mayor experiencia educación'],['estar banco'],['apor tú positivo'],['valor'],['fama']
['benfecicio mutuo'],['mostrar apreciación tras concedido'],"['circunstancia', 'sujeto persona poder causar daño']",['ataquedar panico'],['sentir remordimiento'],['querer hacer sentir él'],['vision'],['ayuda comprender cosa saber'],sensación producir disgusto,['poder ser musical'],['anhelo'],['acción'],['llevar sonrisa'],['percibir algun beneficio'],poseer reconocimiento,['poder traer sufrimiento'],['condicion'],['adicción'],['dar situacion deber aprovechar él'],provocar palpitación rapida,['divagación cerebral'],['proyecto'],['elemento distintivo entidad relevante sociedad'],['confianza personal'],['nuevo idea'],"['deber siempre decir él', 'aunque duelar']",['conllevar aprobación social']
['rendicion'],['ser cortés alguien portado bien'],['alerta'],['desordir pensamiento'],['ocurrir enterar él ver injusticia'],['hicistir daño'],['eleccion'],['descripcion'],angustiar,['capacidad innato'],['producir calma'],['disculpa injustificado'],['demostrar optimismo'],"['poder ser monetario', 'físico', 'espiritual']",capacidad,['dificil mantener él'],['parte contrato'],['centrar manera total atención'],['poder viajar gratis'],consecuencia,['dar vuelta cabeza'],['proposito'],['permitir tomar decisión acertado'],['camara vigilancia'],['aviso'],['bueno'],['ganador']
['llegar poder hacer frente situacion'],['mostrar respeto alguien realizar'],['aproximar peligro'],['fijación estimulo'],['valor importante'],['hacer sentir triste'],['apostar opcion'],['caracterizacion'],persona sentar poder nervioso,['guardar relacion talento'],['dar mucho cosa'],['barrera ser'],['compartir emoción'],['subjetivo cada persona cosa'],destreza,['opuesto mentira'],['parte fin mayor'],['mantener atención normal'],['buen ocasión'],miedo,['cranear'],['intencion'],['promover desarrollo discusión'],['certeza palabra'],['ayuda'],['persona sincero'],['triunfante']
['credito'],['gratitud'],['próximo ser atacar cualquiera aspecto'],['poner inquieto'],['piedad'],['pón depresivo'],['incertidumbre opción'],['visualizar'],necesidad solución inmediato,['habilidad logica resolucion problema'],['bueno'],['pretexto'],['entusiasmo'],['poder señalar éxito'],caracteristico positivo,['valor'],['exigencia'],['ce él poder ser manisfestación'],['hacer feliz'],cuidado,['flujo información'],['prototipo'],['solo humano'],['mente claro'],['consejo'],['abstracta'],['mucho persona aspirar llegar']
['llegar medio negociación'],['das alguien ayudar'],['advertir'],['gana cosa sucedar rápido'],['perdonar'],['reprochar'],['direccionar'],['ejemplificar'],limitar,['desenvolver él actividad forma determinado'],['dar alivio'],['pérdida confianza'],['euforia'],['utilidad'],ser bueno ámbito,['cualidad'],['realizar individuo'],['existir trastor yo relacionado concepto'],['ayuda aspecto'],advertencia,['subconciente'],['arduino'],['permitir resolver problema'],['policia'],['advertencia'],['persona franco franqueza'],['mejor lograr']
['medio gobernar'],['creer deber darselir dios u divinidad'],['sient atacar'],['nerviosismo'],['ayudar'],['poder llevar él todo vida'],['posicionar'],['mostrar elemento'],busqueda ayuda,['entrena producir uno …'],['motivacion'],['poco credibilidad'],['satisfacción'],['cotrario perdido'],recurso trabajar,['soler poner duda'],['necesario acuerdo cumplir él'],['necesidad hacer'],['aprovechar él'],pensar actuar,"['desear', 'aspiración', 'sueño']",['trabajo'],['verificar alguien correcto'],['otorgar tranquilidad hogar'],['orientacion'],['honesto decir'],['asocia riqueza']
['punto medio dos idea distinto'],['alguien hacer bueno este …'],['hacer poner precavido situación varios'],['angustiar'],['decision'],['matar alguien producir'],['pensamiento'],['recapitular rasgo escencial'],histeria,['talentoso'],['producir bienestar'],['apelar sentimiento'],['hacer reir'],['bueno'],destreza,['virtud'],['deber realizar él'],['pensar'],['chance'],poder evitar,['desarrollar imagen cabeza'],['ingenierio'],['hacer uso mente'],['padre otorgar hijo mediante protección'],['direccionar'],['mentir'],['solo poco llegar']
['establecer parámetro común alguien'],['deber darselir alguien bueno tú'],['pretender hacer sienta miedo'],['desesperación'],['emocion'],['realiza acción buena contrarestar él'],['punto visto u opinion'],['estructurar'],falta control sentimiento propio,['obtener practicar'],['perder'],['innecesario frente responsabilidad'],['familia'],['esforzastir lograr él'],dominio heredar,['consistir decir verdad'],['poder ser molesto'],['pensar tiempo'],['chance'],advertir riesgo,['ocurrir conciencia'],['borrador'],['predomín siglo 18'],"['evitar asalto', 'intranquilidad', 'malestar', 'daño']",['encaminar'],['asi'],['figura televisivo deportivo obtener']
['tratado'],['bueno dar él'],['situación tensión'],['sentimiento provocar nervio'],['libertad'],['sentimiento causado arrepentimiento'],['persona elegir'],['armar'],bajo presion,['persona adquirir innatamente'],['importante perder él'],['motivo frente irresponsabilidad'],['amigo'],['normalmente asocia dinero'],facilidad frente,['rectitud'],['planeado'],['forma sano querer hacer'],['deber aprovechar'],advertencia,['mente trabajar el …'],['boceto'],['suceder pensamos'],['certeza'],['enseñar'],['poco persona hacer'],['sensacion enriquecedorar']
['convención'],['dar hijo padre'],['advertencia'],['persona encontrar ansia'],['autoestima'],['ser responzable acción'],['cada persona'],['construir'],saber hacer,['demuestra hacer bien alguno actividad'],['necesitar'],['oponer hacer'],['pasar él bien'],['poder dar persona forma gratitud'],don,['mentir'],['traer consecuencia'],['pensar gustar'],['pasar dos vez'],evitar sufrimiento molestia,['proceso cognitivo'],['proyecto'],['base solida'],['poco robo'],['ver visión punto vista'],['valorado'],['suceder lograr']
['poder firmar'],['dar'],['regaño'],['sensación agradable'],['alivio'],['sentimiento negativo'],['poder tener poder ser igual distinto'],['concepto'],angustiar,['deportista buen pasear'],['posibilidad éxito'],['buscar perdón'],['sonreir'],['premio'],sobresalir,['principio moral religioso extendido'],['constricción'],['querer repetir provocar'],['poder entregar alguien bajo premisa cumplir'],situacion generar miedo,['mente'],['conjunto idea podriar realizar él'],['correcto'],['certeza'],['consejo'],['mucho vez asociar persona directa palabra'],['persona proyecto positivo']
['cerrar apretón mano'],['bueno sentir tú asi vida'],['restringir'],['sobreevaluar situación'],['dolor'],['resultar mal acto provocado persona'],['hacer dias'],['descriscripcion'],creer existir mas posibilidad,['significar casi mismo talento practicar'],['relacionado color verde'],['querer librar él'],['bienestar'],['hacer sentir feliz'],enseñanza superior,['anhelar todo persona relacionar'],['deber'],['enfermedad'],['afectado deber realizar acción mantener él'],sensacion inseguridad frente alguien,['neurona'],['panorama'],['argumento'],['confianza'],['advertencia'],['respuesta lógica'],['realizacion']
['contrato'],['atraer hacer mas cosa buena'],['castigar'],['sobreevaluar comportamiento entorno'],['sentimiento'],['persona sentir partir arrepentimiento'],['ultimatum'],['explica alguien cosa'],falta control situacion,['practicar'],['último perder'],['decir poder aunsentar él comprometido'],['preocupado'],['suerte'],manejar demá,['ser sincero'],['carga'],['trastorno mental'],['acuardo implicito persona'],situacion impredecible,['sinapsis'],['acción segui'],['lógica'],['convencido'],['dar opinión'],['esperar político siempre decir'],['generar tranquilidad persona']
['punto común alguien'],['forma dar gracias alguien'],['problema'],['cuestionar él demasio'],['empatir'],['causa gran angustiar'],['cambiar realidad hacer él despu'],['libro'],pánico,['habilidad'],['luz final camino'],['manera mentir'],['triste'],['adquisición cosa positiva'],personal independiente persona,['lealtad'],['correlato derecho'],['solo querer cosa'],['opcion'],tsunami,['imaginacion'],['idea'],['usar matemática'],['evidencia'],['recomendación'],['asociado confianza'],['motivo orgullo']
['sintonir alguien'],['agradecido significar apreciar hacer mismo'],['ofensa'],['inseguridad'],['comprender especial situación'],['solucion reconocer cometer error'],['punto inflexión'],['caracteristica'],temor,['resultado positivo'],['fé'],['justificación'],['sentimiento'],['dinero recibido venta'],poseer capacidad mayor poseer,['transparencia'],['vincular persona realizar determinado acción'],['necesidad'],['persona sentir agradecida gracias'],chile vivir constante,['psicologo estudiar'],['paso seguir'],['usado ciencia físico'],['consentimiento'],['idea dar persona'],['existir absoluto'],['todo persona buscar']
['trato'],['gratitud'],['ataque'],['nerviosismo'],['piedad'],['sentir persona hacer cosa mala'],['elección'],['aparecer palabra dos punto explicacion'],miedo,['habilidad'],['creer venir tiempo mejor'],['dar pretexto'],['alegrio'],['ingreso'],futbolista poseer mayor … … …… resto jugar futbol,['respetar'],['mandato'],['enfocar él solo cosa'],['buscar trabajo buscar'],advertencia,['imagen mental'],['mision si poseer buen …'],['relacionado pensamiento ordenado'],['sentir protegido'],['consejo'],['sinceridad'],['poder']
['pacto'],['mostrar gratitud'],['representar riesgo'],['generar accionar precipitar'],['humanidad'],['primero paso sanacion malo sensacion'],['prioridad'],['tambien poder ver calidad tel'],problema,['alguien bueno alguno disciplina'],['optimismo'],['diz safartir hacer alguno deber'],['demostrar sonrisa'],['sumar capital'],poder desarrollar él práctica,['atributo'],['orden'],['poder vivir'],['buscar mejor opcion buscar'],aviso previo frente situacion,['razonamiento'],['idea'],['análisis crítico'],['carabinero'],['ayuda'],['decir cosa franqueza'],['lograr']
['queda hacer alguien'],['demuestra gratitud'],['peligroso'],['trastorno psicológico'],['misericordia'],['sentimiento negativo'],['definir futuro'],['concreto borde'],reacción situación favorable,['dominio'],['aspiración'],['invento verbal plan lograr evitar compromiso'],['contagiós'],['persona recibir sueldo'],normalmente obtener despú esfuerzo,['decir verdad'],['imperatividad'],['querer compartir'],['viajar'],señaletico,['necesitar'],['encontrar inicio proyecto'],['acertado'],['pdi'],['necesitar ayuda pedir'],['aseveración'],['cumplir meta']
['consensir mas parte'],['satisfecho'],['enfrentamiento'],['lectura errado sobreestimulado acontecer'],['sentimiento empatiar'],['bien acción realizar'],['soler generar arrepentimiento'],['explicación'],descontrol,['poseer deportista'],['probabilidad cumplir'],['palabra servir tapar acto saber incorrecto'],['abundar amistad'],"['distinto tipo', 'plano material emocional']",contrario discapacidad,['sinceridad'],['coacción'],['manir'],['persona tomar'],probabildiad salir dañado,['debido hacer hacer'],['manera organizado dar'],['lógico'],['confort'],['preguntar creer mejor'],['certeza'],['rendir bien']
['ceder'],['reconocer gesto entidad'],['enemigo'],['acto perjudicar organismo'],['sentimiento servir ayudar resto'],['despú cometer alguno error tonto'],['deber meditar él'],['relatar esencia'],desenboca mala decisión,['permitir triunfar determinado area'],['aplicar solo situación acontecer futuro'],['justificacion'],['chocolate'],['positivo'],don,['cualidad humano'],['liga sujeto actuar'],['padecer acumulador'],"['tomar', 'gana mucho cosa']",manera entender,['poder ser positivo negativo'],['poder generar él manera individual grupal'],['importante antigüedad'],['mama'],['consejo'],['certidumbrir'],['objetivo vida']
['entendendimiento'],['sentir él deuda'],['condicional'],"['comer exceso', 'beber demasiado', 'fumar exceso', 'etc']",['entender situacion'],['sentir mal hacer mea … …'],['repercutir'],['buscar simpleza universalidad'],estrés,['habilidad'],['desear suceda futuro'],['justificar'],['realización'],['recompenso'],facilidad,['servir mejorar convivencia'],['deber hacer'],['cualidad'],['poder estudiar universidad'],idea,['pensar persona'],['maquinación'],['fundamento'],['comodiad absoluto'],['dar él idea persona'],['decir mentira'],['lograr completar algun desafío']
['comprensión'],['contento'],['jaque'],['acto conducir hacer cosa exceso'],['ver programa solidario'],['sentimiento surgir hecer mal'],['elegir camino'],['detallar significar'],acción precipitado,['fisicar'],['concepto mas bien romantico'],['decir salir aprieto'],['plenitud'],['obtener luego gran esfuerzo'],cultivado repetición,['asumir poseer'],['especie compromiso'],['llamar igual galleta costa parecer barquillo relleno'],['aparecer necesita'],vision mundo,['indicar opinión percepción invividuo'],['tramar mediante idea'],['pensar persona'],['proteccion'],['opinion propio'],['realidad'],['contrario fracaso']
['legitimización'],['sentir empatiar hacia entidad'],['intimidación'],['provocado nervio'],['lamento'],['aparecer sólo si conciente hacer mal'],['hacer'],['intentar objetivizar'],fuertemente vinculado preservación,['mental'],['relacionado cabalidad razón lógica'],['evadir'],['eudemonismo'],['beneficio'],ventaja,['actuar poder resultar perjudicial'],['ser responsable hacer'],['locura'],['ventana poder lograr'],ocurrir mente,['actúar forma individual'],['poder ser trabajo'],['responder preguntar'],['sient lugar'],['ayudar'],['opuesto falsedad'],['normalmente obtener despu esfuerzo']
['permitir mantener cohesión social'],['accion persona hacer sentir tú satisfecho'],['poner persona riesgo'],['presentar situación estrés'],['empatir'],['surgir perjudicar'],['escoger'],['referencia'],origina bienestar ver fuertemente amenazado,['poseer habilidad alguno actividad'],['brota resolución futuro probable naturaleza adverso'],['evitar hacer'],['alegría'],['ingreso mayor gasto'],experencia,['persona carente generar desconfianza'],['sometido'],['coleccionador'],['esperanza'],entrega respuesta,['hecho ocurrir mente'],['poder ser acción'],['motivo'],['sient persona'],['aportar realizar trabajo'],['contrario mentiar'],['satisfecho']
