Punto de vista frente a algo,"Mientras más potencies esto, más feliz eres",Incomoda,Intranquilidad por algo pendiente o no resuelto,"Ponerse en el sentimiento del otro, como el otro lo siente",,Nos sentimos avergonzados,Trae consecuencias ,Intenta objetivizar,Pérdida de esperanza,Puede mejorar con entrenamiento,Lo que nos impulsa,"algunos dirían ""chamullo"" para librarse de algo",Estado idealizado del equilibrio,beneficio,capital,destreza en una disciplina,,Los ladrones tampoco lo son,Puede ser algo molesto,Obstinación,acuardo implicito entre personas,Inerperado,Influenciable por la personalidad,Pensamiento,"Pensamiento, mente",,Las carceles debieran tenerla,opinión,es una forma de aconsejar a alguien para que lleve a cabo algo,admitir ,,Se tiene luego de esforzarse para alcanzarlo
Quedar con alguien a hacer algo,Muestra de gratitud ,La recibes si haces algo que desagradó a otra persona,Lo que te da cuando tienes antojos de alguna comida o bebida,Preocupacion por el otro,,Ocultar respecto a algo,a hacer algo,La explicación de lo que es una palabra,Se siente cuando se piensa que no hay solución,Puede ser algo que se potencia,Lo que se tiene cuando se cree que algo imposible se puede arreglar,aplazar,Estado similar a la alegría que se da tras obtener hechos beneficiosos.,cotrario a la perdida,consecuencia de ventas,dominio heredado ,,Los políticos generalmente no lo son,Puede ser impuesto por otro persona o voluntarios,Pensar en algo todo el tiempo,ahí hay que demostrar las capacidades,Inseguridad,Involucra la mente,Planificacion Previa,Permite ,,Las madres y/o nos provocan ese sentimiento,orientacion,esta sujeta al gusto de cada persona,afirmación de algo,,Sensacion enriquecedora
Ractificar una idea,Necesario ,Mal acechante,Necesidad de algo inalcansable  ,"Produce algo internamente, en lo espiritual",,Pedir perdón,aceptar hacer algo o no,Para algunas cosas es mas complicado,Sensación que produce disgusto,Puedes explotarla,Lo último que se pierde,argumentación,Estar contento,dinero extra,contrario a perdida,don ,,Mucha gente no la tiene,Responsabilidad,Pensar mucho en algo ,al buscar trabajo uno las busca ,La vida corre un riesgo,La mente trabaja con el…,Ponerse de acuerdo,Permite el planteo de ideas ,,Libre de riegos ,orientar,existe en empresas o negocios un libro para esto,afirmación que te lleva a creer en algo real,,Sucede a un logro 
Realizar un pacto con alguna persona de algo en particular.,Nos hace bien realizar esto,Miedo que se tiene a algo o alguien,Nervios,Se ve mucho en programas solidarios,,Pena y angustia,actuar por voluntad propia,Plasmar determinado concepto,Sentimiento negativo,Puedes utilizarla para diferenciarte del resto,Luz,argumento a favor de uno,Estar feliz,dinero que se obtiene de lo que ha sido invertido en un objeto,cuando eres niño tienes poca,en le sentido evolutivo permite que las especies perduren,,No da cabida a la mentira,Se realiza por individuos ,Puede constituir una enfermedad mental,al buscar una mejor opcion uno la busca ,Las personas buscan estar a salvo de el ,Lo hacemos la mayor parte del día,Programación de pasos detallada para lograr un fin,Permite elegir,,Lo contrario a tener temor y miedo,propuesta,guiar,algo que es asi ,,Superar o cumplir con las espectativas
Reunión,Oportunidad,No debe generar miedo,Nerviosismo,Sentimiento,,Pensamiento rumiante que minimiza la autoestima,afirmación acerca de algo que se elige,Preponderante en el estudio de los alumnos ,Sobreexagerar una situación,Quien la posee tiene habilidad para alguna actividad ,Luz al final del camino,argumento para justificar un actuar,Experiencia,dinero recibido por la venta de algo,cuando ganas algo que esta fuera de tus entradas de dinero típicas,enseñanza superior ,,No distorsionar la realidad,Se toma como un deber,Puede influir en el la poca autoestima,algo que aparece cuando lo necesitas ,Limite,Lo que ocurre en la conciencia ,Proyecto,Plenitud ,,Lo que brindan los carabineros y los guardias,recomendación,guiar por el camino correcto,algo que se piensa y se corrobora empiricamente,,Todas las personas lo buscan 
Se llega a una resolución,"Quien no agradece, no aprende ",No se puede escapar,No deja dormir,Sentimiento ,,Peso moral producto de un hecho incorrecto.,afirmar ciertas posibilidades,Proporciona sabiduria,Sucede cuando no se ven caminos posibles a seguir,Relacionado con el desempeño ,Motivación,certidicado,Hay un producto en el Mc'Donalds que hace referencia a este concepto,es algo bueno,cuando se vende algo a un precio mayor que el del costo original,es una accion,,Opuesto a la mentira ,Ser respetuoso con los padres ,Puede llegar a ser un trastorno sicológico,algo que aprovechas si es que te la dan,Lo que a veces aceptamos sabiendo los riesgos que puede traer,Lo que tengo para existir,Puede ser entre varias personas o solo,Poder de elección,,Lo que no hay en los barrios marginales,solucion pensada anticipadamente a algun suceso ,guía para lograr algo,algo real,,Todos podemos lograrlo
Se llevan a cabo todos los dias,Realizar un favor a alguien,No se puede evitar,No poder esperar ,Sentimiento culpa,,Posterior a experimentar el daño hecho a otro,al momento de elegir es importante,Referencia,Todos tratan de evitar este sentimiento buscando soluciones,Se asocia a una actividad,No perder nunca la fe,decir algo para salir de aprietos ,Inteligencia,es subjetiva para cada persona y cosa,diferencia entre el costo y el precio de venta,especie de don,,Para decir las cosas que siento necesito una gran ,Ser responsable de hacer algo,Querer algo por sobre todas las cosas,algo que nos ayuda en todo aspecto,Lo que usualmente debemos evitar,Lo que tienes en tu mente al imaginar historias falsas (pasarse rollos),Pueden compartirse para situaciones del mismo contexto,Propósito,,"Lo que otorga los candados, puertas cerradas, etc. ",ver visiones desde otros puntos de vistas,hablar sobre mejora de algo,algo real e incuestionable ,,Triunfo
Se puede firmar para que sea oficial,Reconocer la ayuda de los demás,Para cada persona son diferentes,Oscuridad,Sentimiento de empatia,,Puede causar enfermedades mentales,alternativa,Relata la esencia,Un trastorno de personalidad,Se dice este concepto cuando vemos que una persona posee habilidad en determinado campo,Optimismo,defensa propia para evitar sanción,Ligereza,es una utilidad,dinero,estabilidad,,Puede traer sufrimiento ,Terea,Se confunde recurrentemente con el enamoramiento,algo que nos hace feliz,Los padres nos defienden de esto mientras somos niños o durante toda la vida,Los filósofos lo tenían como fuente de conocimiento. ,Pueden no funcionar,Razonamiento ,,Lo que sentías al ser un niño en brazos de tus padres,,idea transferida a otra persona,algo verídico,,Triunfos
Se puede modificar en el futuro,Reconocer las cosas buenas que me pasan en la vida ,Peligro,Poca tolerancia ,Sentimiento que sirve para ayudar al resto ,,"Puede durar muy poco, o mucho tiempo",analisis,Requiere credibilidad,Usualmente las personas que pasan por esto necesitan ayuda externa,Se obtiene mayor rendimiento ,Paz,el porque de una acción,Lo contrario a tristeza,esfuerzo que trae una recompensa,efecto de esfuerzo,facilidad,,Pureza,Todas las mamás la tienen,Si se tiene compulsivamente es un trastorno mental,algo que se debe aprovechar,Miedo a ser dañado,Mente y cerebro ,Pueden ser buenos,Reflexión al respecto de cierta actitudes,,Lo que sientes al hacer algo que sabes que es lo correcto,,incitar algo,buscada por gran cantidad de gente,,acción de lo conseguido o logrado
"Si se viola alguna de sus partes, se considera roto",Reconocimiento hacia algo o alguien por sentirme bien,Peligro que provoca algo o alguien,Preocupación,Sentir làstima por otro,,Puede generar ansiedad,analizar resultados ,Se encuentran muchas en los diccionarios,acciones precipitadas,Se relaciona con la inteligencia,Pensamientos felices siempre entregan …,empleada por gente irresponsable,Motivación,está presente en finanza y economía,el beneficio que uno recibe despues de haber saldado sus cuentas,facilidad frente a algo,,Se asocia a las personas directas ,Trae consecuencias ,Solo quiere una cosa,alternativa,No te encuentras seguro ,Metodo de analisis ,Razonamiento logico,Requiere al pensamiento,,Lo que sientes al tener el apoyo de la gente que te importa,,indicar una mejor solución,carácter subjetivo,,buenos resultados
Terminos aprovados,Responder a una ayuda,Pone a las personas en riesgo ,Preocupación  por el futuro ,Sentir remordimiento por algo,,Puede llevar a castigos,apostar por una opcion,Se necesita observacion y enterder,actitud que se toma frente a situaciones estresantes,Se relaciona con ser bueno para algo,Pensar en los actos buenos de alguien malo puede darte un poco de ...,es lo que debe dar la gente que no cumple,No estar preocupado por algo,expresión que se le da al comprar aun determinado precio y que se vende a un valor muho mayor,entrada de dinero extraordinaria,facilita la realización de acciones,,Se asume que todos la poseen,Un deber que hay que cumplir,Suele provocar malos resultados,alternativa que surge inesperadamente y que promete ser beneficiosa,Nos enfoca totalmente en el,Motor más grande que trabaja a través de todos los conceptos aprendidos para generar una respuesta ,Receta,Saber,,Lo que uno siente al estar protegido,,intencion positiva con fin de ayudar,certeza,,calma mental
Todas las partes involucradas están conformes con el resultado,Responder ante el favor de alguien,Posible peligro,Produce daños colaterales a la salud,Ser benevolo,,Reconocer que se hace algo malo ,asertividad,Se necesita previo conocimiento,adrenalina ,Se va mejorando con la práctica,Pensar en superar un momento duro,es lo que utilizamos para evadir algo,No estar triste,financiamiento,es satisfactorio,facilitadora de objetivos,,Se desarrolla,Un deber que se tiene que cumplir te guste o no,Trastorno mental,brecha entre un estado actual y la posiblidad de uno mejor,Opuesto a la seguridad,No pertenece al plano fisico,Revisar con anticipación una situación ,Se desarrolla por el pensamiento,,Los goriernos necesitan entregar esta cualidad,,la respuesta a una comparacion,certidumbre,,competente
Tratado,Respuesta ante un cumplido recibido,Potencial agente de daño,Producido por situaciones estresantes,Uno se conmueve por el dolor o la angustia de otro ,,Remordimiento,atreverse ,Significado de algo o alguien,agobio,Ser hábil ,Posibilidad de éxito,es un motivo,Optimismo descontrolado,fortuna,fruto de algo,fortaleza en algo,,Se suele poner en duda,Una especie de compromiso,Unas galletas tienen el nombre de este concepto,chance,Poco o no seguro,Nos aleja del presente,Se efectuan antes de un partido,Se le interponen las emociones ,,Los policias la protegen,,las personas las dan para ayudar a otras en sus decisiones ,concebido como real ,,completitud
Tratado entre dos o más partes que beneficia a todos,Se aprecia tras ser recibido,Potencial peligro ,Puede causar depresión,acogimiento ,,Responsabilizarse de nuestras acciones,buenas elecciones de esto nos hace sentirnos plenos ,Significado de las palabras,agoviado,Talento,Puede ser objetiva y subjetiva ,es un tipo de mentira,Paz,ganar algo,implica beneficio para un individuo,general,,Ser transparente ,Una responsabilidad,a veces puede jugar en contra,chance ,Posibilidad de daño,Nos conecta con nosotros mismos,Se idea,Se utiliza a cada segundo,,Paz,,manual,concepto irrefutable,,conlleva aprobación social
Trato,Se da cuando a uno le benefició el acto voluntario de alguien mas,Potncial peligro,Puede derivar a crisis ,actitud,,Se debe a alguna acción o situación que involucra una autorresponsabilidad,cambia la realidad de antes de hacerlo y la de despues ,Significado de una palabra,algo incontrolable,Talento ,Puede terner fundamentos racionales o no,esperanza ,Puede ser una respuesta a algo que se quiere o espera,ingresos,ingresos por vender algo,hay distintos tipos de esta,,Ser transparente con otra persona,Una responsabilidad que se tiene,algo que centra de manera total nuestra atención ,chance frente a una cosa,Produce adrenalina,Nos hace tener ideas y cuestionarnos cosas ,Se logra a traves del penamiento,"Si se algo que tu no, tengo la ",,Percepción del peligro,,mostrar un punto de vista propio,contrario a decir mentiras,,conocimiento
Trato entre 2 o más personas.,Se realiza de corazón,Pretende hacer que sientas miedo ,Puede ser un tipo de trastorno ,acto que trata de aliviar el sufriemto de otro.,,Se siente cuando uno no se siente bien con las acciones que realizó,certeza,Sirve para que otro entienda cierta cosa,alteracion,Tener mayor capacidad innata,Que algo positivo ocurra,evadir algo,Risas,ingresos sobre gastos,ir a la loteria y que te toque el ganador,herramienta para distenderse en el entorno,,Sinceridad,Una tarea por hacer,amar una cosa,chance que se presenta,Produce repulsión,Nos hace tener opinión propia e ideales ,Se proyecta a futuro ,También está relacionada a proporción,,Preservativo,,observación,contrario a mentia,,conseguir metas
Trato entre dos partes,Se siente un gran……. hacia nuestros padres,Próximo a ser atacado en cualquier aspecto,Querer hacer algo rápido ,al perdonar la vida de alguien,,Se siente despúes de cometer algún error tonto,comparar,Tiende a ser objetivo,alterarse cuando algo no resulta de la forma que uno quiere,Una de las cosas que te hace ser profesional en algo ,Relacionada al color verde,evadir situaciones,Satisfacción,la gente espera obtenerla en su vida laboral,lo contrario a pérdida,independencia,,Sinceridad ,accion inmediata,apego ,chance sobre algo,Provoca comportamiento defensivo,Nos identifica quién somos,Se te ocurren ideas,Tener certeza,,Prevención ante cualquier peligro ,,oportunidad,contrario a mentira,,conseguir una meta
"Trato, promesa o compromiso de algo, entre un par o un grupo de individuos.",Sensacion tras recibir algo positivo de otro,Puede perjudicar,Se asocia con pensamientos repetitivos sobre algo ,apiadarse de algo o alguien,,Se siente mal,compromiso,Tiene que ver con lo que es una palabra o concepto.,ambigüedad,Una habilidad que puede ser tanto fisica como mental,Renacer ,evadir un hecho por medio de algo que puede o no ser verdad,Se da con cosas buenas,las empresas se mueven por tenerla,lo que genera un trabajo,innovador ,,Trae beneficios,acciones que se deben hacer,aspiración,contrario a cuando no te dejan intentarlo denuevo,Puede ocurrir una desgracia indeseada,Nos permite planificar,Se utiliza para organizar algo,Tener una opnión veraz,,Proteccion par alguien o algo,,pauta para actuar bien,correcto,,cualidad
"Un ejemplo es el ""prenupcial""",Sensación de placer,Puede perjudicarte ,Se debe regular,apiádate de mi por favor,,Se suelen realizar acciones para repararlo,concretar una acción,Todas las palabras tiene una,angustia,"Una persona que juega futbol, la tiene para los deportes",Se contagia ,evitación de algo ,Se demuestra con sonrisas,lo q se obtiene tras una venta,premio,la labia ,,Un tipo de valor,acto impuesto por algo o alguien,causa preocupación en quien la posee,cuando es posible lograr algo,Puede ser adictivo,Nunca deja de ejecutarse,Soluciones a problemas,algo que se cree que es cierto,,Protecciòn,,percepcion de ser una mejor idea que la que la otra persona posee,cosas que te dicen los profesores,,cuando alguien es inteligente 
Un punto medio entre dos ideas distintas,Sentimiento al recibir un presente o favor,Puede ser física o verbal,"Se puede reducir, pero no controlar",ayudar,,Se tiende a sentir luego de producir algun daño,constancia,Todos lo hemos hecho,angustia frente a algo,afinidad con algo,Se crítica ,evitar hacer algo,Sensacion de estar satisfecho ,logro de algo,puede ser extrinseco como intrinseco,las matematicas ,,Una persona carente de esto genera desconfianza,algo que debe cumplirse,coleccionador,cuando hiciste algo mal pero te dejan intentarlo denuevo,Puede ser físico o psicológico ,Para ello uno ocupa solamente el cerebro,Toda actividad debe tener esto antes de llevarla a cabo,análisis crítico,,Protección,,plantear alguna solucion,cosas que te dicen tus padres,,cuando cumples tus objetivos
Un tipo de pacto,Sentimiento despues de que alguien hizo algo por ti,Puede ser verbal o física,Se puede usar a favor de quien la padece ,benelovencia ,,Sensación de haber herido a otra persona ,cuando optas hacer algo que nada ni nadie te detendrá,Tomar una decision ,ansiedad,agilidad,Se puede sentir,falla,Sensación de alegría,los contadores son las que las calculan,puede ser material o de conocimientos,las puedes desarrollar,,Uno de los primeros valores que los padres enseñan a sus hijos,algo que se debe hacer o no hacer,"como consecuencia, puede traer rabía, ira y descontrol de la persona","cuando la tomas, ganas muchas cosas ",Refleja se refleja mediante miedo.,Parte cognitiva del ser humano,Todos hacemos alguno,argumento,,Resguardo,,posibilidad,credibilidad,,cuando ganas un juego 
a favor,Sentimiento hacia alguien,Puede terninar en violencia,Sensación de inseguridad,bondadoso,,Sensación de remordimiento del ser humano,cuando una persona elige algo ,acuerdo,aparece cuando no ves más alternativas para resolver un problema,algunas personas la adquieren innatamente ,Sentimiento,falsedad,Sensación de plenitud,mejor que antes,puede ser monetario,libertad,,Valor,algo que si o si se hace,concretar objetivos como sea,cuando se abre una ventana en la vida,Resulta de la poca seguridad,Pensar,Una idea con un fin,argumentos,,Retribución por un acto,,presentar una opción,cuando alguien algo y esta en lo cierto,,cuando las cosas te salen bien
algo en común,Ser educado,Se aproxima peligro ,Sentimiento de angustia,bueno,,Sensación molesta,decidir,aparece una palabra con dos puntos y una explicacion,apuro,aptitud,Sentimiento de anhelo ,falta de mea culpa,Sensación positiva,más cantidad,recibir algo despues de un logro,lo que permite cumplir algunas metas,,Valor correspondiente a alguien que no miente,carga,connotación negativa,cuando se nos da esta situacion debemos aprovecharla,Riesgo,Permite tomar decisiones ,Una mision no es nada si no posee un buen… ,autoridad,,Se asume positiva,,proponer algo,cuando dices algo con certeza,,cuando llegas bien al final de algo 
algo que beneficia a ambas partes,"Si me haces un favor, yo me siento…….",Se relaciona con el chantaje,Sentimiento negativo,caridad,,Sentimento negativo de responsabilidad,definitivamente,aquello que su busca para saber qué significa algo,comenzar a hacer cosas poco lógicas cuando ya no se logra algo,aptitud para hacer algo,Sentimiento que asegura que todo mejorará en algun momento,fe,Sentimiento ,normalmente se asocia al dinero,recompenza,manejar algo por sobre los demás,,Verdad,carácter extricto,cuadrado ,cuando se presenta una situacion beneficiosa,Riesgo de sufrir daños,Principal Herramienta del ser humano,accion inteligente,base del pensamiento lógico,,Se busca brindarla,,proposición,cuando hablas con una persona y le revelas algo que tenías oculto,,cuando logras algo
algo que concuerdan dos o más partes,Un forma de retroalimentar el acto que alguien hace por uno,Se utiliza para obtener algo a costa de hacer peligrar algo importante,Sucede cuando quieres que algo pase rapido,compadecerse de algo,,Sentimiento,determina una situación ,armar,contrario a estar pasivo,arte,Subjetivamente tiene multiples aplicaciones ,forma de dar la culpa a algo por algun suceso,Sonrisa,normalmente se mide en cantidad de dinero,se da cuando el beneficio es mayor a los costos,necesarias para lograr algo,,Verdadero ,coacción,cualidad,decidir relizar una accion,Salir a la calle por la noche en un barrio oscuro,Procesamiento de ideas,acciones a segui,bases solidas,,Se busca obtener en la vida cotideana,,puede ser respondida de manera agresiva por el receptor,cuando no mientes,,cuando una persona se mentaliza con algo y despues lo logra
alianza,Una manera de sociabilizar ,Sentise desprotegido ante una situación.,Sucede por momentos tensos o de emoción.,comprender la especial situación del otro,,Sentimiento al reconocer la equivocación y no comentarlo,determinacion hacia un objetivo,aveces cuesta entenderla,correr,arte de poder hacer algo ,Suele perderse ,forma de mentir porque no se cumplio algo,Tiende a asociarse con el positivismo,obstener algo personal,se gana en el primer trabajo,opcion,,Virtud,comprometer,cuando me obsesiono por una comida en especifico,dejar que persona vuelva a realizar algo,Se busca minimizar,Proceso cognitivo,acción a futuro interiorizada ,capacidad de organizar pensamientos críticamente.,,Se da de padres a hijos,,pueden señalar un error,cuando no se tergiversan las cosas,,cuando uno cumple lo que desea 
amistad,Uno envía un saludo o un regalo ,"Si la recibimos, vivimos más alerta",Sudoración excesiva,comprensión de un suceso malo en otro.,,Sentimiento de angustia al perjudicar a otro ,direccionar,cada libro posee un glosario de esta,creer que ya no existen mas posibilidades,aumenta la probabilidad de esquivar un golpe,También puede ser un nombre de mujer,forma de salir ileso ante una situación que nos desfavorecería.,Todos intentamos sentirnos así,obtencion de recursos,similar a la utilidad pero visto desde un punto de vista mas social,por lo que se diferencian las personas,,accion positiva relacionada con decir la verdad,compromiso que debe cumplirse,cuando no podemos vivir sin alguna cosa,el afectado debe realizar acciones para mantenerla,Se debre enfrentar con atencion ,Proceso interno mental sobre algo. ,acción de sistematizar algo a futuro,capacidad de pensar las cosas,,Se necesitan rejas ,,recomendación,cuando uno es honesto dice la ,,cuando uno llega a la meta como lo planeo
arreglo,accion de la persona que te hizo sentirte satisfecho,Situación de tensión,Suele darse en momentos incomodos,concepto de lastima,,Sentimiento de falta luego de cometer un acto intencionalmente,diyuntiva,caracteristicas de algo,crisis,aumenta la probabilidad de golpe crítico,Tener confianza que algo va a suceder,frase con la cual  busca ser perdonado,"Varia de persona a persona, pudiendo responder a distintos objetos",obtención de algo,tener un margen positivo en utilidades,poseer un reconocimiento,,actuar consinceridad,compromiso que se debe realizar,cuando una persona se vuelve adicto a algo,el poder estudiar en una universidad ,Señales de construcción que prohiben el paso bajo una advertencia,Profundidad,acuerdo,característica,,Se pude pagar por ella,,se da en una conversacion apropiada,decir las cosas como son sin tapujos,,culminacion de algo lllevado a cabo perfectamente
aveces usado por conveniencia de unos,acciones desinteresadas,Te disgusta sentirla,También muchos trastornos se desarrolan por esto ,cualidad,,Sentimiento de remordimiento por un acto o palabra dicha.,eleccion,caracterizacion,cuando algo nos perturba demaciado,buen desempeño,Tener fe en algo,frase que se emite con tal de no verse perjudicado,Verdad,obtener un beneficio,uno se siente realizado,potencial ,,actuar correctamente,constreñir,cuidado ,en lo que se basa el éxito de un negocio,Situacion que activa una maxima alerta en las personas,Proviene de una acción que realiza la mente,acuerdo de algo,certeza,,Se usan candados,,se da entre amigos,decir las cosas tal como son,,culmine
benfecicio mutuo ,acción a favor de una persona que te ayudo,Te hace poner precavido ante una situación o varias ,Trastorno que puede desembocar en graves adicciones,cuando nos perdonan ,,Sentimiento negativo,elección,"características de una cosa, objeto o persona",cuando estas encerrado en un lugar pequeño te pones así,bueno para algo,Todos lo hemos experimentado,genera una ponderación negativa en quien la recibe,aceptar todo lo que te rodea,percibir algun beneficio,utilidad,puede relacionarse con los hobbies,,actuar de acuerdo a lo que se piensa y siente,constricción,depender de algo,es cuando hay un momento exacto para llevar a cabo algo ,Sube la adrenalina,Puede involucrar cualquier tema,adelantarse a las situaciones,concepto fraccionario que permite hacer una proporción,,Segundo nivel de la pirámide de Maslow,,se debería hacer de manera sutil,decir o actuar de forma natural ,,cumbre
ceder,actitud hacia alguien que me trata de forma amable,Te pone en alerta para reaccionar,Una angustia muy grande,culpa ,,Sentimiento negativo ante una mala accion ,elección personal,características que te ayudan a comprender mejor una palabra,cuando haces cosas que nunca pensaste que harías en situaciones normales,capacidad,Una manera de seguir luchando,intento de justificacion de una accion,alegria,"puede ser monetaria, física, espiritual",éxito,pueden ser blandas,,anteponer la verdad sobre la mentira,cuando alguien tiene que hacer algo incluso si es contra su voluntad,descontrolado,es una chance para algo ,Te encuentras en apuros,Puede ser bueno o malo,algo preparado,conocimiento,,Sensación de protección,,siempre beneficia al que da la opinion,el no uso de mascaras y de omisiones,,cumplimiento de los objetivos
colaborar,actitud hacie quien te ayuda en general,Te puede quitar tu bienestar ,Uno está inseguro,debilidad,,Sentimiento presente cuando obramos de mala manera,elegir,concenso,cuando las cosas no resultan como uno quiere,capacidad de hacer cosas,actitud que empuja a ir mas alla,inventar algo para sacarse de culpa,alegria ,puede ser una ganancia de valor material o inmaterial,,pueden ser blandas o duras,,ayuda a mantener relaciones saludables con otras personas,cuando debes hacer algo,deseo descontrolado por conseguir algo,es una posibilidad que el ser humano puede tomar,Tirarse en parapante lo es.,Puede ser positivo o negativo,algo que buscas cumplir,contrario al instinto,,Sensación de tranquilidad ,,son constructivas,es abstracta,,cumplir una meta
colaborar con alguien,al salir de una tienda o lugar la expresas,Un león feroz para una cebra,acto que conduce a hacer cosas en exceso,el sentimiento es positivo,,Sentimiento que se siente al haber cometido una acción que se sabes es incorrecta o indebida. ,elegir ,concepto,cuando le pides ayuda a alguien que nunca pensaste acudirías,capacidad de poder realizar una accion,algo positivo,invento,alegría,puede señalar éxito,,puedes tenerla en distintos campos o áreas ,,buena persona,cuando debes hacer algo si o si,deseo mal trabajado,esperanza,Una persona amenazante puede ser un peligro,Puede traer dudas,algoritmo,correcto,,Sentimiento que se logra mediante la realización de ciertas actividades,,tip,es aquello que es innegable,,el esfuerzo es el camino al
comprensión,amabilidad,Un riesgo hacia uno mismo,acto que perjudica al organismo,el sistema no la tiene ,,Sentimiento que surge al hecer algo mal,elegir algo,concepto ,cuando no puedes controla algo,capacidad fisica,aliciente de que vendra algo mejor,justificacion,alegría que perdura,quedar con numeros positivos en una inversion,,que le es facil realizar algo,,caracteristica vista como positiva,cuando estudias para una prueba ,dirigir la atencion a una cosa o persona y luchar para obtenerlo contratodo,evento del que puedes sacar una ganancia ,Uno es cuidadoso cuando se encuentra en este tipo de situaciónn,Razonamiento lógico,amerita análisis para obtenerlo,cuando algo es lógico,,Sentirse protegido ,,un comentario,es bien valorado en la sociedad,,el fruto de trabajo y perseverancia
comprometerse a ciertas condiciones,atencion,Una invasión alienigena es una potencial…..,afecta al eje HPA,emocion de congoja por otra persona,,Sentimiento que tenemos cuando decimos algo indebido a alguien,elegir algo por sobre otro,concepto de algo,cuando no sabes que hacer,capacidad innata ,analisis numerico,justificacion ,alegría un poco más constante,recompensa,,recurso trabajado ,,caracteriza a las personas buenas,cuando se tiene que hacer algo,enfoque egoista de lo que e desea,existen muchas oportunidades en la vida,Uno puede salir perjudicado cuando uno se lo enfrenta,Razonar,anticipar ,cuando algo esta acertado,,Sentise protegido en situaciones de la vida.,,una ayuda para mejorar algo,es lo contrario a falsedad,,el resultado de la realización de nuestras aspiraciones
compromiso,atrae que hagan mas cosas buenas por ti,acción que atenta contra tu bienestar,afecta estados mentales,empatia,,Sentir responsabilidad por algo malo que paso o se hizo,elegir de forma informada,concreto,cuando no sabes que más hacer para salvar o arreglar la situación,capacidad mayor que el promedio de la gente en alguna disciplina,anhelo,justificación,algo bueno,recompensa o dinero por haber hecho alguna acción,,se aplican para diferentes areas de desarrollo en la naturaleza,,claridad,cuando tienes responsabilidades,es un trastorno compulsivo ,genera incerteza dado que invita a los individuos a salir de su zona de confort,a veces se asocia con una sensacion,Reflexion,arduino,cuando se verifica que alguien estaba en lo correcto,,Sin amenaza alguna,,una idea,es lo pre establecido por la gente,,es una forma de atraer felicidad
comunicación,brindar las gracias,actitud que anticipa violencia,afán,empatia ,,Situación después de un delito,elegir lo que es mejor,constante,cuando se esta apurado y te toca una larga fila ,capacidad para realizar algo,aplica solo para situaciones que acontecerán en el futuro ,justificar,amor,resultado de una gestion transaccional beneficiosa,,seguridad,,compromiso,"cuando tus padres salen, y tienes que si o sí cuidar a tu hermano",es una ambición,hacer algo por primera vez o repetirlo,accidente,Reflexión,aticulacion paso a paso con el fin de alcanzar un objetivo determinado,el por qué de una acción o acontecimiento,,Sin preocupación,,una opción,es lo que te hace ser una persona auténtica,,esfuerzo
conciliación,capacidad de crítica,advertencia,al estar nerviosos en exceso nos sentimos así,empatia con sufrimiento ajeno,,Su solucion es reconocer que se ha cometido un error,enfrentarse a diferentes alternativas,construir,cuando te enfrentas a algo desconocido,capacidades manuales,aspiraciones,justificar algo ,aprender a valorar cada cosa,resultado positivo,,ser bueno en algo,,concepto diametralmente contrario a la mentira,cumplir las leyes resultan una ,especie de irracionalidad en la búsqueda de alguien o algo,hay personas que la toman y otras que no ,acción de lo desconocido,Relacionado con la racionalidad o razón,ayuda a definir tareas o actividdes a realizar,elemento distintivo de  entidades relevantes en la sociedad,,Sin riesgo,,una opinion,es lo que uno siempre tiene que decir,,estabilidad
condiciones,capacidad de dar las gracias,advertencia agresiva,angustia,empatía,,Sucede cuando hiciste algo malo,es algo de cada persona ,cuando algo es concreto en los bordes ,cuando ya no aguantas mas,caracteristica,auge,la decimos cuando queremos justificarnos por alguna accion que hicimos ante otra persona,arcoiris,suma,,ser bueno en un ámbito,,confiabilidad,deber,estar loco por algo,hay que aprovecharla,acción que perjudica el bienestar propio,Relacionado con nuestra mente,boceto,entendimiento,,Tener guardias puede darte una cierta …,,una reflexion,es un valor,,estar satisfecho
conformidad,como te sientes despues de recibir algo,advertencia con cierto grado de violencia,angustia ,empatía vertical,,Surge cuando se perjudica a otros,es cuando entre un conjunto de cosas seleccionas una,cuando le explicas a alguien una cosa ,depresion,caracteristica fisica que permite moverse con agilidad,augurio,la gente suele entregar muchas ,bienestar,te esforzaste para lograrlo,,ser bueno para algo,,confiable,deber ,estar loco por alguien o algo,hay que aprovecharlas,acompañado de una advertencia,Representación mental respecto a algo o alguien.,borrador,equivalencia,,Tener un dispositivo electronico con contraseña,,,estamento,,expresión que se le da a lo ancalzado
conlleva a un beneficio mutuo,complacerse,alerta,angustia interna,entender a una personas ,,Una la tiene después de hacer algo que no es correcto,es un acto,"cuando uno no entiende una palabara, uno busca su",descontento,característica que una persona puede mostrar realizando cierta operación,añoranza ,mal vista por la sociedad,bienestar ,te hace sentir feliz,,ser bueno para realizar una accion,,consiste en decir la verdad,deberes,estar siempre con eso,implica una mejora en el bienestar en caso de ejecutarse,adrenalina,Se asocia a la personalidad,buena desición,es como piensan las personas,,Todos queremos sentirnos asi,,,existente ,,fama
